ScientificName
Dicliptera brachiata
Justicia americana
Ruellia caroliniensis
Ruellia humilis
Ruellia strepens
Acorus americanus
Acorus calamus
Sambucus canadensis
Sambucus nigra
Sambucus racemosa
Viburnum acerifolium
Viburnum cassinoides
Viburnum dentatum
Viburnum dilatatum
Viburnum lantana
Viburnum lentago
Viburnum molle
Viburnum opulus
Viburnum plicatum
Viburnum prunifolium
Viburnum rafinesquianum
Viburnum rufidulum
Viburnum sieboldii
Viburnum trilobum
Alisma subcordatum
Alisma triviale
Echinodorus berteroi
Echinodorus cordifolius
Echinodorus tenellus
Sagittaria australis
Sagittaria brevirostra
Sagittaria cuneata
Sagittaria graminea
Sagittaria latifolia
Sagittaria montevidensis
Sagittaria rigida
Liquidambar styraciflua
Achyranthes japonica
Amaranthus albus
Amaranthus blitoides
Amaranthus hybridus
Amaranthus palmeri
Amaranthus powellii
Amaranthus retroflexus
Amaranthus spinosus
Amaranthus tuberculatus
Atriplex littoralis
Atriplex patula
Atriplex prostrata
Bassia scoparia
Chenopodiastrum murale
Chenopodiastrum simplex
Chenopodium album
Chenopodium berlandieri
Chenopodium capitatum
Chenopodium glaucum
Chenopodium pallescens
Chenopodium pratericola
Chenopodium standleyanum
Chenopodium urbicum
Corispermum americanum
Corispermum nitidum
Corispermum pallasii
Cycloloma atriplicifolium
Dysphania ambrosioides
Dysphania anthelmintica
Dysphania botrys
Froelichia floridana
Froelichia gracilis
Iresine rhizomatosa
Monolepis nuttalliana
Salsola collina
Salsola tragus
Suaeda calceoliformis
Allium canadense
Allium cernuum
Allium sativum
Allium schoenoprasum
Allium stellatum
Allium tricoccum
Allium vineale
Galanthus nivalis
Hymenocallis occidentalis
Leucojum aestivum
Narcissus poeticus
Narcissus pseudonarcissus
Nothoscordum bivalve
Cotinus coggygria
Rhus aromatica
Rhus copallinum
Rhus glabra
Rhus typhina
Toxicodendron radicans
Toxicodendron rydbergii
Toxicodendron vernix
Asimina triloba
Aegopodium podagraria
Aethusa cynapium
Anethum graveolens
Angelica atropurpurea
Angelica venenosa
Anthriscus caucalis
Bupleurum rotundifolium
