,county,segment,speciesName,n,climatesp
1,Adams,c Climate Segment,Carex radiata,1,c Climate Segment Divide Carex radiata
2,Adams,c Climate Segment,Ribes cynosbati,1,c Climate Segment Divide Ribes cynosbati
3,Adams,c Climate Segment,Carex hyalinolepis,1,c Climate Segment Divide Carex hyalinolepis
4,Adams,c Climate Segment,Danthonia spicata,1,c Climate Segment Divide Danthonia spicata
5,Adams,c Climate Segment,Cystopteris protrusa,1,c Climate Segment Divide Cystopteris protrusa
6,Adams,c Climate Segment,Carex normalis,1,c Climate Segment Divide Carex normalis
7,Adams,c Climate Segment,Sambucus canadensis,1,c Climate Segment Divide Sambucus canadensis
8,Adams,c Climate Segment,Panicum dichotomiflorum,1,c Climate Segment Divide Panicum dichotomiflorum
9,Adams,c Climate Segment,Carex stipata,1,c Climate Segment Divide Carex stipata
10,Adams,c Climate Segment,Salix interior,1,c Climate Segment Divide Salix interior
11,Adams,c Climate Segment,Carex muskingumensis,1,c Climate Segment Divide Carex muskingumensis
12,Adams,c Climate Segment,Carex davisii,1,c Climate Segment Divide Carex davisii
13,Adams,c Climate Segment,Carex tuckermanii,1,c Climate Segment Divide Carex tuckermanii
14,Adams,c Climate Segment,Carex vulpinoidea,1,c Climate Segment Divide Carex vulpinoidea
15,Adams,c Climate Segment,Rhus glabra,1,c Climate Segment Divide Rhus glabra
16,Adams,c Climate Segment,Carex lupulina,1,c Climate Segment Divide Carex lupulina
17,Adams,c Climate Segment,Rudbeckia laciniata,1,c Climate Segment Divide Rudbeckia laciniata
18,Adams,c Climate Segment,Parthenocissus inserta,1,c Climate Segment Divide Parthenocissus inserta
19,Adams,c Climate Segment,Carex echinodes,1,c Climate Segment Divide Carex echinodes
20,Adams,c Climate Segment,Ribes americanum,1,c Climate Segment Divide Ribes americanum
21,Adams,c Climate Segment,Carex tribuloides,1,c Climate Segment Divide Carex tribuloides
22,Adams,c Climate Segment,Teucrium canadense,2,c Climate Segment Divide Teucrium canadense
23,Adams,c Climate Segment,Ruellia strepens,1,c Climate Segment Divide Ruellia strepens
24,Adams,c Climate Segment,Rorippa palustris,1,c Climate Segment Divide Rorippa palustris
25,Adams,c Climate Segment,Carex leavenworthii,1,c Climate Segment Divide Carex leavenworthii
26,Adams,c Climate Segment,Rudbeckia hirta,1,c Climate Segment Divide Rudbeckia hirta
