"climateSegment","speciesName","count"
"a Climate Segment "," Acalypha deamii",0
"b Climate Segment "," Acalypha deamii",0
"c Climate Segment "," Acalypha deamii",0
"d Climate Segment "," Acalypha deamii",1
"e Climate Segment "," Acalypha deamii",1
"f Climate Segment "," Acalypha deamii",3
"a Climate Segment "," Acalypha gracilens",5
"b Climate Segment "," Acalypha gracilens",1
"c Climate Segment "," Acalypha gracilens",0
"d Climate Segment "," Acalypha gracilens",1
"e Climate Segment "," Acalypha gracilens",1
"f Climate Segment "," Acalypha gracilens",0
"a Climate Segment "," Acalypha ostryifolia",0
"b Climate Segment "," Acalypha ostryifolia",0
"c Climate Segment "," Acalypha ostryifolia",1
"d Climate Segment "," Acalypha ostryifolia",0
"e Climate Segment "," Acalypha ostryifolia",4
"f Climate Segment "," Acalypha ostryifolia",6
"a Climate Segment "," Acalypha rhomboidea",15
"b Climate Segment "," Acalypha rhomboidea",11
"c Climate Segment "," Acalypha rhomboidea",15
"d Climate Segment "," Acalypha rhomboidea",9
"e Climate Segment "," Acalypha rhomboidea",13
"f Climate Segment "," Acalypha rhomboidea",7
"a Climate Segment "," Acalypha virginica",2
"b Climate Segment "," Acalypha virginica",3
"c Climate Segment "," Acalypha virginica",2
"d Climate Segment "," Acalypha virginica",6
"e Climate Segment "," Acalypha virginica",11
"f Climate Segment "," Acalypha virginica",5
"a Climate Segment "," Acer negundo",6
"b Climate Segment "," Acer negundo",9
"c Climate Segment "," Acer negundo",12
"d Climate Segment "," Acer negundo",10
"e Climate Segment "," Acer negundo",8
"f Climate Segment "," Acer negundo",6
"a Climate Segment "," Acer nigrum",8
"b Climate Segment "," Acer nigrum",13
"c Climate Segment "," Acer nigrum",12
"d Climate Segment "," Acer nigrum",3
"e Climate Segment "," Acer nigrum",6
"f Climate Segment "," Acer nigrum",1
"a Climate Segment "," Acer rubrum",10
"b Climate Segment "," Acer rubrum",9
"c Climate Segment "," Acer rubrum",4
"d Climate Segment "," Acer rubrum",4
"e Climate Segment "," Acer rubrum",11
"f Climate Segment "," Acer rubrum",3
"a Climate Segment "," Acer saccharinum",8
"b Climate Segment "," Acer saccharinum",6
"c Climate Segment "," Acer saccharinum",6
"d Climate Segment "," Acer saccharinum",2
"e Climate Segment "," Acer saccharinum",5
"f Climate Segment "," Acer saccharinum",4
"a Climate Segment "," Acer saccharum",11
"b Climate Segment "," Acer saccharum",13
"c Climate Segment "," Acer saccharum",14
"d Climate Segment "," Acer saccharum",11
"e Climate Segment "," Acer saccharum",13
"f Climate Segment "," Acer saccharum",6
"a Climate Segment "," Achillea millefolium",17
"b Climate Segment "," Achillea millefolium",14
"c Climate Segment "," Achillea millefolium",4
"d Climate Segment "," Achillea millefolium",7
"e Climate Segment "," Achillea millefolium",12
"f Climate Segment "," Achillea millefolium",5
"a Climate Segment "," Acmispon americanus",1
"b Climate Segment "," Acmispon americanus",0
"c Climate Segment "," Acmispon americanus",0
"d Climate Segment "," Acmispon americanus",0
"e Climate Segment "," Acmispon americanus",0
"f Climate Segment "," Acmispon americanus",0
"a Climate Segment "," Acorus americanus",4
"b Climate Segment "," Acorus americanus",0
"c Climate Segment "," Acorus americanus",0
"d Climate Segment "," Acorus americanus",0
"e Climate Segment "," Acorus americanus",0
"f Climate Segment "," Acorus americanus",0
"a Climate Segment "," Actaea pachypoda",10
"b Climate Segment "," Actaea pachypoda",14
"c Climate Segment "," Actaea pachypoda",15
"d Climate Segment "," Actaea pachypoda",12
"e Climate Segment "," Actaea pachypoda",12
"f Climate Segment "," Actaea pachypoda",5
"a Climate Segment "," Actaea racemosa",0
"b Climate Segment "," Actaea racemosa",1
"c Climate Segment "," Actaea racemosa",0
"d Climate Segment "," Actaea racemosa",1
"e Climate Segment "," Actaea racemosa",4
"f Climate Segment "," Actaea racemosa",2
"a Climate Segment "," Actaea rubra",2
"b Climate Segment "," Actaea rubra",0
"c Climate Segment "," Actaea rubra",0
"d Climate Segment "," Actaea rubra",0
"e Climate Segment "," Actaea rubra",0
"f Climate Segment "," Actaea rubra",0
"a Climate Segment "," Adiantum pedatum",10
"b Climate Segment "," Adiantum pedatum",12
"c Climate Segment "," Adiantum pedatum",15
"d Climate Segment "," Adiantum pedatum",10
"e Climate Segment "," Adiantum pedatum",10
"f Climate Segment "," Adiantum pedatum",5
"a Climate Segment "," Aesculus flava",0
"b Climate Segment "," Aesculus flava",0
"c Climate Segment "," Aesculus flava",0
"d Climate Segment "," Aesculus flava",0
"e Climate Segment "," Aesculus flava",5
"f Climate Segment "," Aesculus flava",0
"a Climate Segment "," Aesculus glabra",5
"b Climate Segment "," Aesculus glabra",13
"c Climate Segment "," Aesculus glabra",14
"d Climate Segment "," Aesculus glabra",8
"e Climate Segment "," Aesculus glabra",7
"f Climate Segment "," Aesculus glabra",5
"a Climate Segment "," Agalinis auriculata",1
"b Climate Segment "," Agalinis auriculata",0
"c Climate Segment "," Agalinis auriculata",0
"d Climate Segment "," Agalinis auriculata",0
