Scientific.Name,native
Abutilon theophrasti,non-native
Acer campestre,non-native
Acer platanoides,non-native
Achillea filipendulina,non-native
Achillea ptarmica,non-native
Achyranthes japonica var. hachijoensis,non-native
Acinos arvensis,non-native
Acorus calamus,non-native
Aegilops cylindrica,non-native
Aegopodium podagraria,non-native
Aesculus hippocastanum,non-native
Aesculus pavia,non-native
Aethusa cynapium,non-native
Agropyron cristatum subsp. pectinatum,non-native
Agropyron desertorum,non-native
Agrostemma githago,non-native
Agrostis canina,non-native
Agrostis gigantea,non-native
Agrostis stolonifera,non-native
Ailanthus altissima,non-native
Aira caryophyllaea var. caryophyllaea,non-native
Ajuga reptans,non-native
Akebia quinata,non-native
Albizia julibrissin,non-native
Alcea rosea,non-native
Alliaria petiolata,non-native
Allium cepa,non-native
Allium sativum,non-native
Allium schoenoprasum var. schoenoprasum,non-native
Allium stellatum,non-native
Allium vineale,non-native
Alnus glutinosa,non-native
Alopecurus geniculatus,non-native
Alopecurus pratensis,non-native
Alyssum alyssoides,non-native
Amaranthus arenicola,non-native
Amaranthus blitoides,non-native
Amaranthus cruentus,non-native
Amaranthus hybridus,non-native
Amaranthus palmeri,non-native
Amaranthus powellii,non-native
Amaranthus retroflexus,non-native
Amaranthus spinosus,non-native
Amberboa moschata (=centaurea moschata),non-native
Ambrosia bidentata,non-native
Ambrosia psilostachya,non-native
Amphiachyris dracunculoides,non-native
Andropogon hallii,non-native
Anethum graveolens,non-native
Anoda cristata,non-native
Anthemis arvensis,non-native
Anthemis cotula,non-native
Anthoxanthum odoratum,non-native
Anthriscus caucalis,non-native
Apera interrupta,non-native
Aquilegia vulgaris,non-native
Arabidopsis thaliana,non-native
Arctium lappa,non-native
Arctium minus,non-native
Arenaria serpyllifolia var. serpyllifolia,non-native
Argemone mexicana,non-native
Argemone polyanthemos,non-native
Aristida basiramea,non-native
Armoracia rusticana,non-native
Arrhenatherum elatius subsp. elatius,non-native
Artemisia abrotanum,non-native
Artemisia absinthium,non-native
Artemisia annua,non-native
Artemisia biennis,non-native
Artemisia carruthii,non-native
Artemisia ludoviciana subsp. ludoviciana,non-native
Artemisia vulgaris,non-native
Arthraxon hispidus var. hispidus,non-native
Asparagus officinalis,non-native
Aster tataricus,non-native
Astragalus cicer,non-native
Astragalus glycyphyllos,non-native
Atriplex littoralis,non-native
Atriplex patula,non-native
Atriplex prostrata,non-native
Avena fatua,non-native
Avena sativa,non-native
Barbarea verna,non-native
Barbarea vulgaris,non-native
Bassia scoparia,non-native
Belamcanda chinensis,non-native
Bellis perennis,non-native
Berberis aquifolium,non-native
Berberis thunbergii,non-native
Berberis vulgaris,non-native
Berteroa incana,non-native
Betula pendula,non-native
Betula pubescens,non-native
Bolboschoenus maritimus subsp. paludosus,non-native
Bouteloua dactyloides,non-native
Brassica juncea,non-native
Brassica napus,non-native
Brassica nigra,non-native
Brassica rapa subsp. rapa,non-native
Bromus briziformis,non-native
Bromus commutatus,non-native
Bromus hordeaceus (including 1 subspecies),non-native
Bromus inermis,non-native
Bromus japonicus,non-native
Bromus racemosus,non-native
Bromus secalinus,non-native
Bromus squarrosus,non-native
Bromus sterilis,non-native
Bromus tectorum,non-native
Broussonetia papyrifera,non-native
Buddleja davidii,non-native
Buglossoides arvense (=lithospermum arvense),non-native
Bupleurum rotundifolium,non-native
Butomus umbellatus,non-native
Cakile edentula var. edentula,non-native
Callirhoe alcaeodies,non-native
Callirhoe digitata,non-native
Callirhoe involucrata var. involucrata,non-native
Calystegia pubescens,non-native
Camelina microcarpa,non-native
Camelina sativa,non-native
Campanula rapunculoides,non-native
Cannabis sativa,non-native
Capsella bursa-pastoris,non-native
Cardamine flexuosa,non-native
Cardamine hirsuta,non-native
Cardamine impatiens,non-native
Cardaria draba (=lepidium d.),non-native
Cardiospermum halicacabum,non-native
Carduus nutans,non-native
Carex acutiformis,non-native
Carex austrina,non-native
Carex praegracilis,non-native
Carex spicata,non-native
Carum carvi,non-native
Catalpa bignonioides,non-native
Celastrus orbiculatus,non-native
Celosia argentea,non-native
Celosia cristata,non-native
Centaurea cyanus,non-native
Centaurea diffusa,non-native
Centaurea jacea,non-native
Centaurea nigrescens,non-native
Centaurea scabiosa,non-native
Centaurea solstitialis,non-native
Centaurea stoebe subsp. micranthos,non-native
Centaurium erythracea,non-native
Centaurium pulchellum,non-native
Centrosema virginianum,non-native
