<<<<<<< HEAD
pvalues1,speciesName,padj
0.0019, Acalypha deamii,0.009303804
0.1688, Acalypha gracilens,0.290523018
0, Acalypha ostryifolia,0
0.9142, Acalypha rhomboidea,0.978641068
0.0024, Acalypha virginica,0.011175194
0.4804, Acer negundo,0.624268926
0.1858, Acer nigrum,0.3155623
0.2779, Acer rubrum,0.430219759
0.6512, Acer saccharinum,0.769451638
0.9333, Acer saccharum,0.993121133
0.065, Achillea millefolium,0.146963614
1, Acmispon americanus,1
0.0186, Acorus americanus,0.052045342
0.8643, Actaea pachypoda,0.949097258
0.0146, Actaea racemosa,0.043129836
0.3216, Actaea rubra,0.468112439
0.9408, Adiantum pedatum,0.998422615
5.00E-04, Aesculus flava,0.00336194
0.2668, Aesculus glabra,0.415894118
1, Agalinis auriculata,1
0.1999, Agalinis gattingeri,0.331999816
3.00E-04, Agalinis paupercula,0.002271429
0.0177, Agalinis purpurea,0.050869856
1, Agalinis skinneriana,1
0.9987, Agalinis tenuifolia,1
0.729, Agastache nepetoides,0.839398083
0.3015, Agastache scrophulariifolia,0.458870777
0.9784, Ageratina altissima,1
0, Agrimonia gryposepala,0
0.3895, Agrimonia parviflora,0.539906923
0.8236, Agrimonia pubescens,0.917260321
0.096, Agrimonia rostellata,0.182481013
0, Agrostis elliottiana,0
0.0307, Agrostis hyemalis,0.079143634
0.846, Agrostis perennans,0.935250153
3.00E-04, Agrostis scabra,0.002271429
0, Aletris farinosa,0
0.8732, Alisma subcordatum,0.956538845
0.0701, Alisma triviale,0.150740095
0.6071, Allium canadense,0.7294496
0.1004, Allium cernuum,0.189049948
0.3196, Allium tricoccum,0.468112439
0.0052, Alnus incana,0.020370435
0.0273, Alnus serrulata,0.071503779
0.0059, Alopecurus aequalis,0.021916216
0.0044, Alopecurus carolinianus,0.018311316
0.0533, Amaranthus albus,0.124324031
0.5565, Amaranthus tuberculatus,0.697181553
0.0041, Ambrosia artemisiifolia,0.017384
0.6689, Ambrosia trifida,0.784738151
0.1887, Amelanchier arborea,0.318984428
0.0701, Amelanchier humilis,0.150740095
0.0816, Amelanchier interior,0.160177778
0.6836, Amelanchier laevis,0.798345561
0.2789, Amelanchier spicata,0.430443493
0.0321, Ammannia coccinea,0.081700847
0, Ammannia robusta,0
0.0701, Ammophila breviligulata,0.150740095
0, Amorpha canescens,0
1.00E-04, Amorpha fruticosa,0.000984699
0, Ampelopsis cordata,0
0.9085, Amphicarpaea bracteata,0.978641068
0.0027, Amsonia tabernaemontana,0.012317468
1, Anaphalis margaritacea,1
0.014, Andromeda polifolia,0.041699174
0.1904, Andropogon gerardi,0.320823364
2.00E-04, Andropogon gyrans,0.001668519
0, Andropogon virginicus,0
0.5867, Androsace occidentalis,0.710984129
0.39, Anemone acutiloba,0.540184473
1.00E-04, Anemone americana,0.000984699
0.1556, Anemone canadensis,0.271696899
0, Anemone cylindrica,0
0.0107, Anemone quinquefolia,0.033072727
0.9973, Anemone virginiana,1
0.0293, Angelica atropurpurea,0.07575122
0.0077, Angelica venenosa,0.025983895
0.1537, Antennaria howellii,0.268900388
0.8697, Antennaria neglecta,0.953284307
0.9666, Antennaria parlinii,1
0.079, Antennaria plantaginifolia,0.157575771
0.3072, Antennaria solitaria,0.465579815
0.0219, Anthoxanthum hirtum,0.059612991
0.014, Apios americana,0.041699174
0.2302, Aplectrum hyemale,0.371
0, Apocynum androsaemifolium,0
0.6526, Apocynum cannabinum,0.770127832
0.0366, Aquilegia canadensis,0.091474619
3.00E-04, Arabidopsis lyrata,0.002271429
0.079, Arabis patens,0.157575771
0.1496, Arabis pycnocarpa,0.263004098
0.0701, Aralia hispida,0.150740095
1.00E-04, Aralia nudicaulis,0.000984699
0.8595, Aralia racemosa,0.94613256
0, Aralia spinosa,0
0.0701, Arctostaphylos uva-ursi,0.150740095
0.1909, Arenaria serpyllifolia,0.321196825
0.9146, Arethusa bulbosa,0.978641068
0.3216, Argentina anserina,0.468112439
0.6154, Arisaema dracontium,0.737334309
0.9054, Arisaema triphyllum,0.978641068
0, Aristida dichotoma,0
0.0089, Aristida longespica,0.02921275
1.00E-04, Aristida oligantha,0.000984699
0, Aristida purpurascens,0
0.0039, Aristida ramosissima,0.016653555
0.0701, Aristida tuberculosa,0.150740095
0.7517, Arnoglossum atriplicifolium,0.860040254
0.0049, Arnoglossum plantagineum,0.019578271
0.009, Arnoglossum reniforme,0.029487273
0.0069, Aronia melanocarpa,0.023683429
0.7572, Arrhenatherum elatius,0.863045161
0, Artemisia campestris,0
0.3764, Artemisia ludoviciana,0.526211938
1.00E-04, Aruncus dioicus,0.000984699
0, Arundinaria gigantea,0
0.8465, Asarum canadense,0.935250153
1.00E-04, Asclepias amplexicaulis,0.000984699
0.1695, Asclepias exaltata,0.291449427
7.00E-04, Asclepias hirtella,0.004379861
0.557, Asclepias incarnata,0.697181553
1.00E-04, Asclepias perennis,0.000984699
0.0042, Asclepias purpurascens,0.017641958
0, Asclepias quadrifolia,0
0.0613, Asclepias sullivantii,0.140537659
0.1475, Asclepias syriaca,0.260504603
0.0254, Asclepias tuberosa,0.06711261
0, Asclepias variegata,0
0.0042, Asclepias verticillata,0.017641958
0.0014, Asclepias viridiflora,0.00742
0.5889, Asimina triloba,0.713170565
0.1953, Asplenium pinnatifidum,0.326769359
1.00E-04, Asplenium platyneuron,0.000984699
0.0068, Asplenium rhizophyllum,0.023429446
0.3962, Asplenium ruta-muraria,0.540463588
0.2832, Asplenium trichomanes,0.435893345
3.00E-04, Astragalus canadensis,0.002271429
0.4623, Athyrium filix-femina,0.606306114
0.7249, Aureolaria flava,0.836280282
0, Aureolaria pedicularia,0
0.007, Aureolaria virginica,0.023890152
0.5564, Azolla cristata,0.697181553
0.085, Bacopa rotundifolia,0.164345494
0.0012, Baptisia alba,0.006532931
0.01, Baptisia australis,0.031542808
0.0062, Baptisia leucophaea,0.021916216
0.0186, Baptisia tinctoria,0.052045342
6.00E-04, Bartonia virginica,0.003861429
1, Berberis canadensis,1
0.2427, Besseya bullii,0.383794386
0.007, Betula alleghaniensis,0.023890152
9.00E-04, Betula nigra,0.00538804
0.3216, Betula papyrifera,0.468112439
0, Betula pumila,0
0.011, Bidens aristosa,0.033825939
0.0794, Bidens beckii,0.157575771
0.6601, Bidens bipinnata,0.776436162
0.0477, Bidens cernua,0.113999204
0.0082, Bidens connata,0.027363704
0.4977, Bidens discoidea,0.642446562
0.7389, Bidens frondosa,0.848087771
0.6872, Bidens polylepis,0.802030052
0.0027, Bidens trichosperma,0.012317468
0.5466, Bidens tripartita,0.688437037
0.6181, Bidens vulgata,0.73958579
1.00E-04, Bignonia capreolata,0.000984699
0.4154, Blephilia ciliata,0.55820343
0.3461, Blephilia hirsuta,0.493802217
1, Boechera stricta,1
0.3307, Boehmeria cylindrica,0.477884042
0.4085, Bolboschoenus fluviatilis,0.551811844
0.5005, Boltonia asteroides,0.644215
0.231, Boltonia diffusa,0.371
0.0446, Borodinia canadensis,0.10758929
0.017, Borodinia dentata,0.049330113
0.5236, Borodinia laevigata,0.669077108
0.0186, Borodinia missouriensis,0.052045342
0.6243, Botrypus virginianus,0.744040079
0.2076, Bouteloua curtipendula,0.3438375
1, Brachyelytrum aristosum,1
0.2889, Brachyelytrum erectum,0.442685204
0.0053, Brasenia schreberi,0.020627646
0.2577, Brassica rapa,0.403804696
0.2253, Brickellia eupatorioides,0.366748509
0.0017, Bromus ciliatus,0.008533148
1, Bromus hordeaceus,1
0.2427, Bromus kalmii,0.383794386
0.1186, Bromus latiglumis,0.216751724
0.1179, Bromus nottowayanus,0.215691168
0.3587, Bromus pubescens,0.508158333
1, Buchnera americana,1
0.5003, Buglossoides arvensis,0.644215
1.00E-04, Bulbostylis capillaris,0.000984699
0.0701, Cakile edentula,0.150740095
1.00E-04, Calamagrostis canadensis,0.000984699
0, Calamagrostis stricta,0
0.0186, Calamovilfa longifolia,0.052045342
0.3216, Calla palustris,0.468112439
0.3962, Callirhoe triangulata,0.540463588
0.0779, Callitriche heterophylla,0.157575771
2.00E-04, Callitriche terrestris,0.001668519
0.3216, Calopogon oklahomensis,0.468112439
0, Calopogon tuberosus,0
0.0822, Caltha palustris,0.161004783
5.00E-04, Calycocarpum lyonii,0.00336194
0.0025, Calystegia catesbeiana,0.011521739
0.772, Calystegia sepium,0.874383407
0.8323, Calystegia silvatica,0.924663748
0.5638, Calystegia spithamaea,0.702119972
0.6452, Camassia scilloides,0.763896452
2.00E-04, Campanula aparinoides,0.001668519
0, Campanula rotundifolia,0
0.4077, Campanulastrum americanum,0.551144336
0.5846, Campsis radicans,0.710984129
0, Cardamine angustata,0
0.9035, Cardamine bulbosa,0.978641068
0.5961, Cardamine concatenata,0.718509833
0.0773, Cardamine diphylla,0.157575771
0.4352, Cardamine douglassii,0.580052071
0.0082, Cardamine parviflora,0.027363704
0.6256, Cardamine pensylvanica,0.744604491
0.3216, Cardamine pratensis,0.468112439
0.0287, Carex aggregata,0.074736127
0.5742, Carex alata,0.70580382
0.3605, Carex albicans,0.510307148
0, Carex albolutescens,0
0.7698, Carex albursina,0.873215859
0.7908, Carex alopecoidea,0.892870677
0.0614, Carex amphibola,0.140588056
7.00E-04, Carex annectens,0.004379861
0.0186, Carex aquatilis,0.052045342
0.9146, Carex atherodes,0.978641068
0.3216, Carex atlantica,0.468112439
1, Carex aurea,1
1, Carex bebbii,1
0.0021, Carex bicknellii,0.010011111
0.9336, Carex blanda,0.993121133
0.0625, Carex brevior,0.142203283
0.2148, Carex bromoides,0.353488219
0.006, Carex bushii,0.021916216
0.0117, Carex buxbaumii,0.035674112
0.0017, Carex canescens,0.008533148
0.3767, Carex careyana,0.526211938
0.0017, Carex caroliniana,0.008533148
0.9146, Carex cephaloidea,0.978641068
0.972, Carex cephalophora,1
0.5742, Carex chordorrhiza,0.70580382
0.0291, Carex communis,0.075559366
5.00E-04, Carex comosa,0.00336194
0.0847, Carex conjuncta,0.164345494
0.1491, Carex conoidea,0.262381055
0.0775, Carex corrugata,0.157575771
1, Carex crawei,1
0.1741, Carex crinita,0.298504472
0.6505, Carex cristatella,0.769160761
0.0034, Carex crus-corvi,0.014834867
0.0794, Carex cryptolepis,0.157575771
0.0288, Carex cumberlandensis,0.074888312
0.0053, Carex davisii,0.020627646
5.00E-04, Carex debilis,0.00336194
0.5867, Carex decomposita,0.710984129
0.0062, Carex diandra,0.021916216
0.0507, Carex digitalis,0.119739712
0.0794, Carex disperma,0.157575771
0.7572, Carex eburnea,0.863045161
0.4538, Carex echinata,0.597768713
0.0478, Carex echinodes,0.114086887
0.1205, Carex emoryi,0.219334343
0.0173, Carex festucacea,0.049959295
0.6206, Carex flava,0.740610066
0.3216, Carex folliculata,0.468112439
0, Carex frankii,0
0.3216, Carex garberi,0.468112439
0.079, Carex gigantea,0.157575771
0, Carex glaucodea,0
0.0711, Carex gracilescens,0.152526429
0.2491, Carex gracillima,0.393063222
0.5579, Carex granularis,0.697181553
0.719, Carex gravida,0.831603338
0.5083, Carex grayi,0.653321398
0.8905, Carex grisea,0.970181983
0.1491, Carex haydenii,0.262381055
0.0254, Carex hirsutella,0.06711261
0.943, Carex hirtifolia,0.998877275
0.3992, Carex hitchcockiana,0.542910256
0.0183, Carex hyalinolepis,0.052045342
0.0292, Carex hystericina,0.075601149
0.9146, Carex inops,0.978641068
0.0251, Carex interior,0.066976991
0.2438, Carex intumescens,0.385037336
0.7645, Carex jamesii,0.869166562
0.0775, Carex kraliana,0.157575771
0.0233, Carex lacustris,0.062854192
0.1071, Carex laevivaginata,0.199168421
0.0816, Carex lasiocarpa,0.160177778
0.4109, Carex laxiculmis,0.554222904
0.6253, Carex laxiflora,0.744604491
0.2513, Carex leavenworthii,0.395841434
0.1607, Carex leptalea,0.279788792
0.3396, Carex limosa,0.487616892
0.0186, Carex longii,0.052045342
0.0024, Carex louisianica,0.011175194
0.4561, Carex lupuliformis,0.600359533
0.7389, Carex lupulina,0.848087771
0.0253, Carex lurida,0.06711261
0.2763, Carex meadii,0.428634079
0.2362, Carex mesochorea,0.376999469
0.1505, Carex molesta,0.26432846
0.0051, Carex muehlenbergii,0.020109847
0.0651, Carex muskingumensis,0.147005263
0.4754, Carex normalis,0.619429356
0.024, Carex oligocarpa,0.06464574
0.0063, Carex oligosperma,0.021916216
9.00E-04, Carex pellita,0.00538804
0.0024, Carex pensylvanica,0.011175194
0.2004, Carex picta,0.332523757
0.1063, Carex planispicata,0.198089555
0.6927, Carex plantaginea,0.805839509
0.0639, Carex platyphylla,0.14465804
0.2663, Carex prairea,0.415474113
0.1357, Carex prasina,0.24204906
0.8048, Carex radiata,0.905384155
0.0124, Carex retroflexa,0.037428476
1, Carex richardsonii,1
0.5908, Carex rosea,0.714031925
0.0219, Carex sartwellii,0.059612991
0.0015, Carex scoparia,0.007903509
0.0017, Carex shortiana,0.008533148
0.0063, Carex siccata,0.021916216
0.4908, Carex sparganioides,0.635360345
0.1087, Carex sprengelii,0.201727497
9.00E-04, Carex squarrosa,0.00538804
0.3329, Carex sterilis,0.47990864
0.9473, Carex stipata,1
0.3789, Carex straminea,0.528465789
4.00E-04, Carex stricta,0.002894779
0.0018, Carex suberecta,0.008910989
0.0754, Carex swanii,0.157575771
1, Carex tenera,1
0.0219, Carex tetanica,0.059612991
0.0775, Carex texensis,0.157575771
0.2779, Carex timida,0.430219759
0.0063, Carex tonsa,0.021916216
0.5193, Carex torta,0.665087846
0.509, Carex tribuloides,0.653754811
0.5564, Carex trichocarpa,0.697181553
1.00E-04, Carex trisperma,0.000984699
0.0275, Carex tuckermanii,0.071923077
0.0062, Carex typhina,0.021916216
0.02, Carex umbellata,0.055531587
0.0794, Carex utriculata,0.157575771
0.0794, Carex vesicaria,0.157575771
0.0012, Carex virescens,0.006532931
0.5867, Carex viridistellata,0.710984129
3.00E-04, Carex viridula,0.002271429
0.8898, Carex vulpinoidea,0.970005808
0, Carex willdenowii,0
0.0701, Carex woodii,0.150740095
0.904, Carpinus caroliniana,0.978641068
0.3407, Carya cordiformis,0.488806847
0.6722, Carya glabra,0.788096552
0.0073, Carya illinoinensis,0.024866919
0.6894, Carya laciniosa,0.802518605
0.6013, Carya ovata,0.723809352
0.3962, Carya pallida,0.540463588
0.0108, Carya tomentosa,0.033324658
9.00E-04, Castanea dentata,0.00538804
0, Castilleja coccinea,0
2.00E-04, Catalpa speciosa,0.001668519
0.9506, Caulophyllum thalictroides,1
0.0075, Ceanothus americanus,0.025404135
0.5464, Celastrus scandens,0.688437037
2.00E-04, Celtis laevigata,0.001668519
0.4433, Celtis occidentalis,0.5873725
0.0085, Celtis tenuifolia,0.028104587
0.0522, Cenchrus longispinus,0.122799478
0.3962, Centaurea stoebe,0.540463588
0.7136, Cephalanthus occidentalis,0.826949968
0.5742, Cerastium arvense,0.70580382
0.4669, Cerastium fontanum,0.610561538
0.01, Cerastium nutans,0.031542808
0.0188, Cerastium velutinum,0.052523411
0.0163, Ceratophyllum demersum,0.047838111
0.316, Cercis canadensis,0.468112439
0.0048, Chaerophyllum procumbens,0.019578271
0.0775, Chaerophyllum tainturieri,0.157575771
0.45, Chamaecrista fasciculata,0.594065934
0.0011, Chamaecrista nictitans,0.006080368
0.0017, Chamaedaphne calyculata,0.008533148
0.079, Chamaelirium luteum,0.157575771
4.00E-04, Chamaenerion angustifolium,0.002894779
0, Chasmanthium latifolium,0
0.2278, Chelone glabra,0.369815856
0.0794, Chelone obliqua,0.157575771
0.001, Chenopodiastrum simplex,0.005794212
0.129, Chenopodium berlandieri,0.232225774
0.0011, Chenopodium pratericola,0.006080368
0.3161, Chenopodium standleyanum,0.468112439
0.151, Chimaphila maculata,0.264433431
3.00E-04, Chimaphila umbellata,0.002271429
1, Chrysosplenium americanum,1
8.00E-04, Cicuta bulbifera,0.004920137
0.9035, Cicuta maculata,0.978641068
0.869, Cinna arundinacea,0.953096774
0.0816, Circaea alpina,0.160177778
0.875, Circaea canadensis,0.957784335
0.6556, Cirsium altissimum,0.772656115
0.0049, Cirsium carolinianum,0.019578271
0.0099, Cirsium discolor,0.031542808
0.0019, Cirsium muticum,0.009303804
0.3216, Cirsium pitcheri,0.468112439
0.0011, Cirsium pumilum,0.006080368
0, Cladium mariscoides,0
0.231, Cladrastis kentukea,0.371
0.9642, Claytonia virginica,1
6.00E-04, Clematis pitcheri,0.003861429
0.0354, Clematis viorna,0.088721558
0.0806, Clematis virginiana,0.159255702
0.9146, Clinopodium arkansanum,0.978641068
0.0382, Clinopodium vulgare,0.094038798
1, Clintonia borealis,1
6.00E-04, Clitoria mariana,0.003861429
1.00E-04, Cocculus carolinus,0.000984699
0.0628, Coeloglossum viride,0.142573333
0, Coleataenia anceps,0
0.0011, Coleataenia rigidula,0.006080368
0.0104, Coleataenia stipitata,0.032423529
0.3654, Collinsia verna,0.516027273
0.3302, Collinsonia canadensis,0.477544462
0.0092, Comandra umbellata,0.029979024
0.001, Comarum palustre,0.005794212
0, Commelina diffusa,0
0.0021, Commelina erecta,0.010011111
0, Commelina virginica,0
3.00E-04, Comptonia peregrina,0.002271429
0.0701, Conioselinum chinense,0.150740095
0, Conoclinium coelestinum,0
0.5546, Conopholis americana,0.696438467
0.9086, Conyza canadensis,0.978641068
0.3255, Conyza ramosissima,0.472263285
0.0062, Coptis trifolia,0.021916216
0.0697, Corallorhiza maculata,0.150740095
0.2897, Corallorhiza odontorhiza,0.4435339
0, Corallorhiza wisteriana,0
0.0219, Coreopsis lanceolata,0.059612991
0, Coreopsis palmata,0
0.0105, Coreopsis tripteris,0.032566265
1, Corispermum americanum,1
0.0701, Corispermum pallasii,0.150740095
0.2863, Cornus alternifolia,0.439688
0.126, Cornus amomum,0.227507014
1, Cornus canadensis,1
0.0079, Cornus drummondii,0.026559328
0.5607, Cornus florida,0.70019501
1.00E-04, Cornus foemina,0.000984699
0.0388, Cornus obliqua,0.095125986
0.0029, Cornus racemosa,0.0130645
0.0794, Cornus rugosa,0.157575771
4.00E-04, Cornus sericea,0.002894779
0.0012, Corydalis flavula,0.006532931
0.0701, Corydalis sempervirens,0.150740095
0.5014, Corylus americana,0.644912777
