,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,a Climate Segment a Climate Segment
2,0, Acalypha ostryifolia,0,a Climate Segment a Climate Segment
3,0, Acalypha virginica,0,a Climate Segment a Climate Segment
4,0, Actaea racemosa,0,a Climate Segment a Climate Segment
5,1.00E-04, Aesculus flava,0.000184615,a Climate Segment a Climate Segment
6,0.4777, Agalinis paupercula,0.576566344,a Climate Segment a Climate Segment
7,0.0128, Agrimonia gryposepala,0.021186207,a Climate Segment a Climate Segment
8,0, Agrostis elliottiana,0,a Climate Segment a Climate Segment
9,0.4777, Agrostis scabra,0.576566344,a Climate Segment a Climate Segment
10,0.3901, Aletris farinosa,0.481195257,a Climate Segment a Climate Segment
11,0.7248, Alnus incana,0.790690909,a Climate Segment a Climate Segment
12,0.0031, Alopecurus aequalis,0.005433708,a Climate Segment a Climate Segment
13,0, Alopecurus carolinianus,0,a Climate Segment a Climate Segment
14,0, Ambrosia artemisiifolia,0,a Climate Segment a Climate Segment
15,0, Ammannia robusta,0,a Climate Segment a Climate Segment
16,0.119, Amorpha canescens,0.17472,a Climate Segment a Climate Segment
17,0, Amorpha fruticosa,0,a Climate Segment a Climate Segment
18,0, Ampelopsis cordata,0,a Climate Segment a Climate Segment
19,0, Amsonia tabernaemontana,0,a Climate Segment a Climate Segment
20,0.0877, Andromeda polifolia,0.130920574,a Climate Segment a Climate Segment
21,0, Andropogon gyrans,0,a Climate Segment a Climate Segment
22,0, Andropogon virginicus,0,a Climate Segment a Climate Segment
23,0.1476, Anemone americana,0.208376471,a Climate Segment a Climate Segment
24,0.1076, Anemone cylindrica,0.159105213,a Climate Segment a Climate Segment
25,0.1075, Anemone quinquefolia,0.159105213,a Climate Segment a Climate Segment
26,0, Angelica venenosa,0,a Climate Segment a Climate Segment
27,0, Apios americana,0,a Climate Segment a Climate Segment
28,0.111, Apocynum androsaemifolium,0.163744681,a Climate Segment a Climate Segment
29,0.6712, Arabidopsis lyrata,0.737374648,a Climate Segment a Climate Segment
30,0.1375, Aralia nudicaulis,0.197504587,a Climate Segment a Climate Segment
31,0, Aralia spinosa,0,a Climate Segment a Climate Segment
32,0, Aristida dichotoma,0,a Climate Segment a Climate Segment
33,0, Aristida longespica,0,a Climate Segment a Climate Segment
34,0, Aristida oligantha,0,a Climate Segment a Climate Segment
35,0.0126, Aristida purpurascens,0.0209664,a Climate Segment a Climate Segment
36,0, Aristida ramosissima,0,a Climate Segment a Climate Segment
37,0.8881, Arnoglossum plantagineum,0.909974384,a Climate Segment a Climate Segment
38,0, Arnoglossum reniforme,0,a Climate Segment a Climate Segment
39,0.0098, Aronia melanocarpa,0.016617391,a Climate Segment a Climate Segment
40,0.3901, Artemisia campestris,0.481195257,a Climate Segment a Climate Segment
41,0, Aruncus dioicus,0,a Climate Segment a Climate Segment
42,0, Arundinaria gigantea,0,a Climate Segment a Climate Segment
43,1.00E-04, Asclepias amplexicaulis,0.000184615,a Climate Segment a Climate Segment
44,0.0046, Asclepias hirtella,0.007929282,a Climate Segment a Climate Segment
45,0, Asclepias perennis,0,a Climate Segment a Climate Segment
46,0, Asclepias purpurascens,0,a Climate Segment a Climate Segment
47,0, Asclepias quadrifolia,0,a Climate Segment a Climate Segment
48,0, Asclepias variegata,0,a Climate Segment a Climate Segment
49,0, Asclepias verticillata,0,a Climate Segment a Climate Segment
50,0.0133, Asclepias viridiflora,0.021897625,a Climate Segment a Climate Segment
51,0, Asplenium platyneuron,0,a Climate Segment a Climate Segment
52,0, Asplenium rhizophyllum,0,a Climate Segment a Climate Segment
53,0, Astragalus canadensis,0,a Climate Segment a Climate Segment
54,0.1484, Aureolaria pedicularia,0.209032957,a Climate Segment a Climate Segment
55,1.00E-04, Aureolaria virginica,0.000184615,a Climate Segment a Climate Segment
56,0, Baptisia alba,0,a Climate Segment a Climate Segment
57,0, Baptisia australis,0,a Climate Segment a Climate Segment
58,0.8823, Baptisia leucophaea,0.905518421,a Climate Segment a Climate Segment
59,0.7772, Bartonia virginica,0.841966667,a Climate Segment a Climate Segment
60,0.8392, Betula alleghaniensis,0.877252174,a Climate Segment a Climate Segment
61,0, Betula nigra,0,a Climate Segment a Climate Segment
62,0.3865, Betula pumila,0.481195257,a Climate Segment a Climate Segment
63,0, Bidens aristosa,0,a Climate Segment a Climate Segment
64,0.1232, Bidens connata,0.179618692,a Climate Segment a Climate Segment
65,0.0349, Bidens trichosperma,0.05390495,a Climate Segment a Climate Segment
66,0, Bignonia capreolata,0,a Climate Segment a Climate Segment
67,0, Borodinia dentata,0,a Climate Segment a Climate Segment
68,0.8153, Brasenia schreberi,0.865124618,a Climate Segment a Climate Segment
69,0.8044, Bromus ciliatus,0.856562457,a Climate Segment a Climate Segment
70,0.3238, Bulbostylis capillaris,0.416600412,a Climate Segment a Climate Segment
71,0.2169, Calamagrostis canadensis,0.29616105,a Climate Segment a Climate Segment
72,0.3901, Calamagrostis stricta,0.481195257,a Climate Segment a Climate Segment
73,0, Callitriche terrestris,0,a Climate Segment a Climate Segment
74,0.138, Calopogon tuberosus,0.197504587,a Climate Segment a Climate Segment
75,0, Calycocarpum lyonii,0,a Climate Segment a Climate Segment
76,0, Calystegia catesbeiana,0,a Climate Segment a Climate Segment
77,0.1455, Campanula aparinoides,0.20681549,a Climate Segment a Climate Segment
78,0.5105, Campanula rotundifolia,0.607923664,a Climate Segment a Climate Segment
79,0, Cardamine angustata,0,a Climate Segment a Climate Segment
80,0, Cardamine parviflora,0,a Climate Segment a Climate Segment
81,0, Carex albolutescens,0,a Climate Segment a Climate Segment
82,0, Carex annectens,0,a Climate Segment a Climate Segment
83,0.7594, Carex bicknellii,0.824114087,a Climate Segment a Climate Segment
84,0, Carex bushii,0,a Climate Segment a Climate Segment
85,0.0119, Carex buxbaumii,0.020015094,a Climate Segment a Climate Segment
86,0.8044, Carex canescens,0.856562457,a Climate Segment a Climate Segment
87,0, Carex caroliniana,0,a Climate Segment a Climate Segment
88,0.1356, Carex comosa,0.196321114,a Climate Segment a Climate Segment
89,0, Carex crus-corvi,0,a Climate Segment a Climate Segment
90,0, Carex davisii,0,a Climate Segment a Climate Segment
91,0, Carex debilis,0,a Climate Segment a Climate Segment
92,0.8823, Carex diandra,0.905518421,a Climate Segment a Climate Segment
93,0, Carex festucacea,0,a Climate Segment a Climate Segment
94,0, Carex frankii,0,a Climate Segment a Climate Segment
95,0, Carex glaucodea,0,a Climate Segment a Climate Segment
96,0, Carex louisianica,0,a Climate Segment a Climate Segment
97,1.00E-04, Carex muehlenbergii,0.000184615,a Climate Segment a Climate Segment
98,0.9214, Carex oligosperma,0.925851208,a Climate Segment a Climate Segment
99,0.0144, Carex pellita,0.023339221,a Climate Segment a Climate Segment
100,0.0713, Carex pensylvanica,0.107207711,a Climate Segment a Climate Segment
101,0, Carex retroflexa,0,a Climate Segment a Climate Segment
102,0.6869, Carex scoparia,0.750657793,a Climate Segment a Climate Segment
103,0, Carex shortiana,0,a Climate Segment a Climate Segment
104,0.9214, Carex siccata,0.925851208,a Climate Segment a Climate Segment
105,0, Carex squarrosa,0,a Climate Segment a Climate Segment
106,0.0904, Carex stricta,0.134629117,a Climate Segment a Climate Segment
107,0.3463, Carex suberecta,0.4349167,a Climate Segment a Climate Segment
108,0.9214, Carex tonsa,0.925851208,a Climate Segment a Climate Segment
109,0.5206, Carex trisperma,0.610628571,a Climate Segment a Climate Segment
110,0, Carex typhina,0,a Climate Segment a Climate Segment
111,0, Carex virescens,0,a Climate Segment a Climate Segment
112,0.4777, Carex viridula,0.576566344,a Climate Segment a Climate Segment
113,0, Carex willdenowii,0,a Climate Segment a Climate Segment
114,0, Carya illinoinensis,0,a Climate Segment a Climate Segment
115,0, Carya tomentosa,0,a Climate Segment a Climate Segment
116,0, Castanea dentata,0,a Climate Segment a Climate Segment
117,0.5105, Castilleja coccinea,0.607923664,a Climate Segment a Climate Segment
118,0, Catalpa speciosa,0,a Climate Segment a Climate Segment
119,0, Ceanothus americanus,0,a Climate Segment a Climate Segment
120,0, Celtis laevigata,0,a Climate Segment a Climate Segment
121,0, Celtis tenuifolia,0,a Climate Segment a Climate Segment
122,0, Cerastium nutans,0,a Climate Segment a Climate Segment
123,1.00E-04, Ceratophyllum demersum,0.000184615,a Climate Segment a Climate Segment
124,0, Chaerophyllum procumbens,0,a Climate Segment a Climate Segment
125,0, Chamaecrista nictitans,0,a Climate Segment a Climate Segment
126,0.8044, Chamaedaphne calyculata,0.856562457,a Climate Segment a Climate Segment
127,0.737, Chamaenerion angustifolium,0.801198606,a Climate Segment a Climate Segment
