,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,a Climate Segment b Climate Segment
2,0, Acalypha ostryifolia,0,a Climate Segment b Climate Segment
3,0, Acalypha virginica,0,a Climate Segment b Climate Segment
4,0, Actaea racemosa,0,a Climate Segment b Climate Segment
5,1.00E-04, Aesculus flava,0.000184071,a Climate Segment b Climate Segment
6,0.0993, Agalinis paupercula,0.126197963,a Climate Segment b Climate Segment
7,0.0993, Agrimonia gryposepala,0.126197963,a Climate Segment b Climate Segment
8,0, Agrostis elliottiana,0,a Climate Segment b Climate Segment
9,0.0993, Agrostis scabra,0.126197963,a Climate Segment b Climate Segment
10,0.0162, Aletris farinosa,0.024476513,a Climate Segment b Climate Segment
11,0.0797, Alnus incana,0.105539112,a Climate Segment b Climate Segment
12,0.0202, Alopecurus aequalis,0.0303,a Climate Segment b Climate Segment
13,0, Alopecurus carolinianus,0,a Climate Segment b Climate Segment
14,0, Ambrosia artemisiifolia,0,a Climate Segment b Climate Segment
15,0, Ammannia robusta,0,a Climate Segment b Climate Segment
16,0.0034, Amorpha canescens,0.005612698,a Climate Segment b Climate Segment
17,0, Amorpha fruticosa,0,a Climate Segment b Climate Segment
18,0, Ampelopsis cordata,0,a Climate Segment b Climate Segment
19,0, Amsonia tabernaemontana,0,a Climate Segment b Climate Segment
20,0.6968, Andromeda polifolia,0.701295484,a Climate Segment b Climate Segment
21,0, Andropogon gyrans,0,a Climate Segment b Climate Segment
22,0, Andropogon virginicus,0,a Climate Segment b Climate Segment
23,0.1548, Anemone americana,0.181229268,a Climate Segment b Climate Segment
24,8.00E-04, Anemone cylindrica,0.001410169,a Climate Segment b Climate Segment
25,0.5482, Anemone quinquefolia,0.55986383,a Climate Segment b Climate Segment
26,0, Angelica venenosa,0,a Climate Segment b Climate Segment
27,0, Apios americana,0,a Climate Segment b Climate Segment
28,0.1234, Apocynum androsaemifolium,0.1540032,a Climate Segment b Climate Segment
29,0.0396, Arabidopsis lyrata,0.055905882,a Climate Segment b Climate Segment
30,0.1343, Aralia nudicaulis,0.166606759,a Climate Segment b Climate Segment
31,0, Aralia spinosa,0,a Climate Segment b Climate Segment
32,0, Aristida dichotoma,0,a Climate Segment b Climate Segment
33,0, Aristida longespica,0,a Climate Segment b Climate Segment
34,0, Aristida oligantha,0,a Climate Segment b Climate Segment
35,1.00E-04, Aristida purpurascens,0.000184071,a Climate Segment b Climate Segment
36,0, Aristida ramosissima,0,a Climate Segment b Climate Segment
37,0.1446, Arnoglossum plantagineum,0.176760902,a Climate Segment b Climate Segment
38,0, Arnoglossum reniforme,0,a Climate Segment b Climate Segment
39,0.0016, Aronia melanocarpa,0.002713043,a Climate Segment b Climate Segment
40,0.0162, Artemisia campestris,0.024476513,a Climate Segment b Climate Segment
41,0, Aruncus dioicus,0,a Climate Segment b Climate Segment
42,0, Arundinaria gigantea,0,a Climate Segment b Climate Segment
43,0, Asclepias amplexicaulis,0,a Climate Segment b Climate Segment
44,0.001, Asclepias hirtella,0.001757746,a Climate Segment b Climate Segment
45,0, Asclepias perennis,0,a Climate Segment b Climate Segment
46,0, Asclepias purpurascens,0,a Climate Segment b Climate Segment
47,0, Asclepias quadrifolia,0,a Climate Segment b Climate Segment
48,0, Asclepias variegata,0,a Climate Segment b Climate Segment
49,0, Asclepias verticillata,0,a Climate Segment b Climate Segment
50,0.0031, Asclepias viridiflora,0.005131034,a Climate Segment b Climate Segment
51,0, Asplenium platyneuron,0,a Climate Segment b Climate Segment
52,0, Asplenium rhizophyllum,0,a Climate Segment b Climate Segment
53,0, Astragalus canadensis,0,a Climate Segment b Climate Segment
54,6.00E-04, Aureolaria pedicularia,0.001069714,a Climate Segment b Climate Segment
55,0, Aureolaria virginica,0,a Climate Segment b Climate Segment
56,0, Baptisia alba,0,a Climate Segment b Climate Segment
57,0, Baptisia australis,0,a Climate Segment b Climate Segment
58,0.2401, Baptisia leucophaea,0.265642553,a Climate Segment b Climate Segment
59,0.0336, Bartonia virginica,0.04864594,a Climate Segment b Climate Segment
60,0.144, Betula alleghaniensis,0.176760902,a Climate Segment b Climate Segment
61,0, Betula nigra,0,a Climate Segment b Climate Segment
62,0.0379, Betula pumila,0.054366897,a Climate Segment b Climate Segment
63,0, Bidens aristosa,0,a Climate Segment b Climate Segment
64,0.6264, Bidens connata,0.635566829,a Climate Segment b Climate Segment
65,0.1461, Bidens trichosperma,0.176760902,a Climate Segment b Climate Segment
66,0, Bignonia capreolata,0,a Climate Segment b Climate Segment
67,1.00E-04, Borodinia dentata,0.000184071,a Climate Segment b Climate Segment
68,0.2769, Brasenia schreberi,0.299455113,a Climate Segment b Climate Segment
69,0.1468, Bromus ciliatus,0.176760902,a Climate Segment b Climate Segment
70,0.0095, Bulbostylis capillaris,0.014746269,a Climate Segment b Climate Segment
71,0.1587, Calamagrostis canadensis,0.184755224,a Climate Segment b Climate Segment
