,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,a Climate Segment c Climate Segment
2,0, Acalypha ostryifolia,0,a Climate Segment c Climate Segment
3,0, Acalypha virginica,0,a Climate Segment c Climate Segment
4,0, Actaea racemosa,0,a Climate Segment c Climate Segment
5,0, Aesculus flava,0,a Climate Segment c Climate Segment
6,0.0113, Agalinis paupercula,0.014970701,a Climate Segment c Climate Segment
7,0.0026, Agrimonia gryposepala,0.003799532,a Climate Segment c Climate Segment
8,0, Agrostis elliottiana,0,a Climate Segment c Climate Segment
9,0.0113, Agrostis scabra,0.014970701,a Climate Segment c Climate Segment
10,0.001, Aletris farinosa,0.001510896,a Climate Segment c Climate Segment
11,0.0166, Alnus incana,0.021010953,a Climate Segment c Climate Segment
12,0.0023, Alopecurus aequalis,0.003409026,a Climate Segment c Climate Segment
13,0, Alopecurus carolinianus,0,a Climate Segment c Climate Segment
14,0, Ambrosia artemisiifolia,0,a Climate Segment c Climate Segment
15,0, Ammannia robusta,0,a Climate Segment c Climate Segment
16,0, Amorpha canescens,0,a Climate Segment c Climate Segment
17,0, Amorpha fruticosa,0,a Climate Segment c Climate Segment
18,0, Ampelopsis cordata,0,a Climate Segment c Climate Segment
19,0, Amsonia tabernaemontana,0,a Climate Segment c Climate Segment
20,0.1378, Andromeda polifolia,0.143073544,a Climate Segment c Climate Segment
21,0, Andropogon gyrans,0,a Climate Segment c Climate Segment
22,0, Andropogon virginicus,0,a Climate Segment c Climate Segment
23,0.0122, Anemone americana,0.016094715,a Climate Segment c Climate Segment
24,0, Anemone cylindrica,0,a Climate Segment c Climate Segment
25,0.3566, Anemone quinquefolia,0.360062136,a Climate Segment c Climate Segment
26,0, Angelica venenosa,0,a Climate Segment c Climate Segment
27,0, Apios americana,0,a Climate Segment c Climate Segment
28,0.0103, Apocynum androsaemifolium,0.013821935,a Climate Segment c Climate Segment
29,0.0093, Arabidopsis lyrata,0.012533909,a Climate Segment c Climate Segment
30,0.0085, Aralia nudicaulis,0.011631579,a Climate Segment c Climate Segment
31,0, Aralia spinosa,0,a Climate Segment c Climate Segment
32,0, Aristida dichotoma,0,a Climate Segment c Climate Segment
33,0, Aristida longespica,0,a Climate Segment c Climate Segment
34,0, Aristida oligantha,0,a Climate Segment c Climate Segment
35,0, Aristida purpurascens,0,a Climate Segment c Climate Segment
36,0, Aristida ramosissima,0,a Climate Segment c Climate Segment
