,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,a Climate Segment d Climate Segment
2,0, Acalypha ostryifolia,0,a Climate Segment d Climate Segment
3,0, Acalypha virginica,0,a Climate Segment d Climate Segment
4,0, Actaea racemosa,0,a Climate Segment d Climate Segment
5,0, Aesculus flava,0,a Climate Segment d Climate Segment
6,0.0025, Agalinis paupercula,0.003347639,a Climate Segment d Climate Segment
7,1.00E-04, Agrimonia gryposepala,0.000154455,a Climate Segment d Climate Segment
8,0, Agrostis elliottiana,0,a Climate Segment d Climate Segment
9,0.0025, Agrostis scabra,0.003347639,a Climate Segment d Climate Segment
10,2.00E-04, Aletris farinosa,0.000302179,a Climate Segment d Climate Segment
11,0.0084, Alnus incana,0.01002218,a Climate Segment d Climate Segment
12,3.00E-04, Alopecurus aequalis,0.000446778,a Climate Segment d Climate Segment
13,0, Alopecurus carolinianus,0,a Climate Segment d Climate Segment
14,0, Ambrosia artemisiifolia,0,a Climate Segment d Climate Segment
15,0, Ammannia robusta,0,a Climate Segment d Climate Segment
16,0, Amorpha canescens,0,a Climate Segment d Climate Segment
17,0, Amorpha fruticosa,0,a Climate Segment d Climate Segment
18,0, Ampelopsis cordata,0,a Climate Segment d Climate Segment
19,0, Amsonia tabernaemontana,0,a Climate Segment d Climate Segment
20,0.0373, Andromeda polifolia,0.038471405,a Climate Segment d Climate Segment
21,0, Andropogon gyrans,0,a Climate Segment d Climate Segment
22,0, Andropogon virginicus,0,a Climate Segment d Climate Segment
23,0.0011, Anemone americana,0.001518584,a Climate Segment d Climate Segment
24,0, Anemone cylindrica,0,a Climate Segment d Climate Segment
25,0.0478, Anemone quinquefolia,0.04897734,a Climate Segment d Climate Segment
26,0, Angelica venenosa,0,a Climate Segment d Climate Segment
27,0, Apios americana,0,a Climate Segment d Climate Segment
28,6.00E-04, Apocynum androsaemifolium,0.000850909,a Climate Segment d Climate Segment
29,0.0036, Arabidopsis lyrata,0.00467027,a Climate Segment d Climate Segment
30,0.0012, Aralia nudicaulis,0.001638512,a Climate Segment d Climate Segment
31,0, Aralia spinosa,0,a Climate Segment d Climate Segment
32,0, Aristida dichotoma,0,a Climate Segment d Climate Segment
33,0, Aristida longespica,0,a Climate Segment d Climate Segment
34,0, Aristida oligantha,0,a Climate Segment d Climate Segment
35,0, Aristida purpurascens,0,a Climate Segment d Climate Segment
36,0, Aristida ramosissima,0,a Climate Segment d Climate Segment
37,0.029, Arnoglossum plantagineum,0.030210351,a Climate Segment d Climate Segment
38,0, Arnoglossum reniforme,0,a Climate Segment d Climate Segment
39,0, Aronia melanocarpa,0,a Climate Segment d Climate Segment
40,2.00E-04, Artemisia campestris,0.000302179,a Climate Segment d Climate Segment
41,0, Aruncus dioicus,0,a Climate Segment d Climate Segment
42,0, Arundinaria gigantea,0,a Climate Segment d Climate Segment
43,0, Asclepias amplexicaulis,0,a Climate Segment d Climate Segment
44,1.00E-04, Asclepias hirtella,0.000154455,a Climate Segment d Climate Segment
45,0, Asclepias perennis,0,a Climate Segment d Climate Segment
46,0, Asclepias purpurascens,0,a Climate Segment d Climate Segment
47,0, Asclepias quadrifolia,0,a Climate Segment d Climate Segment
48,0, Asclepias variegata,0,a Climate Segment d Climate Segment
49,0, Asclepias verticillata,0,a Climate Segment d Climate Segment
50,1.00E-04, Asclepias viridiflora,0.000154455,a Climate Segment d Climate Segment
51,0, Asplenium platyneuron,0,a Climate Segment d Climate Segment
52,0, Asplenium rhizophyllum,0,a Climate Segment d Climate Segment
53,0, Astragalus canadensis,0,a Climate Segment d Climate Segment
54,0, Aureolaria pedicularia,0,a Climate Segment d Climate Segment
55,0, Aureolaria virginica,0,a Climate Segment d Climate Segment
56,0, Baptisia alba,0,a Climate Segment d Climate Segment
57,0, Baptisia australis,0,a Climate Segment d Climate Segment
58,0.0182, Baptisia leucophaea,0.019682496,a Climate Segment d Climate Segment
59,0.001, Bartonia virginica,0.001392857,a Climate Segment d Climate Segment
60,0.0106, Betula alleghaniensis,0.012363364,a Climate Segment d Climate Segment
61,0, Betula nigra,0,a Climate Segment d Climate Segment
62,3.00E-04, Betula pumila,0.000446778,a Climate Segment d Climate Segment
63,0, Bidens aristosa,0,a Climate Segment d Climate Segment
64,0.0439, Bidens connata,0.045055263,a Climate Segment d Climate Segment
65,0.0743, Bidens trichosperma,0.075021359,a Climate Segment d Climate Segment
66,0, Bignonia capreolata,0,a Climate Segment d Climate Segment
67,4.00E-04, Borodinia dentata,0.000576443,a Climate Segment d Climate Segment
68,0.0227, Brasenia schreberi,0.024296398,a Climate Segment d Climate Segment
69,0.009, Bromus ciliatus,0.010536585,a Climate Segment d Climate Segment
70,2.00E-04, Bulbostylis capillaris,0.000302179,a Climate Segment d Climate Segment
71,0.0034, Calamagrostis canadensis,0.004457143,a Climate Segment d Climate Segment
72,2.00E-04, Calamagrostis stricta,0.000302179,a Climate Segment d Climate Segment
73,0, Callitriche terrestris,0,a Climate Segment d Climate Segment
74,5.00E-04, Calopogon tuberosus,0.000712329,a Climate Segment d Climate Segment
75,0, Calycocarpum lyonii,0,a Climate Segment d Climate Segment
76,0, Calystegia catesbeiana,0,a Climate Segment d Climate Segment
77,0.0024, Campanula aparinoides,0.003241558,a Climate Segment d Climate Segment
78,4.00E-04, Campanula rotundifolia,0.000576443,a Climate Segment d Climate Segment
79,0, Cardamine angustata,0,a Climate Segment d Climate Segment
80,0, Cardamine parviflora,0,a Climate Segment d Climate Segment
81,0, Carex albolutescens,0,a Climate Segment d Climate Segment
82,0, Carex annectens,0,a Climate Segment d Climate Segment
83,0.005, Carex bicknellii,0.006315789,a Climate Segment d Climate Segment
84,0, Carex bushii,0,a Climate Segment d Climate Segment
85,2.00E-04, Carex buxbaumii,0.000302179,a Climate Segment d Climate Segment
86,0.009, Carex canescens,0.010536585,a Climate Segment d Climate Segment
87,0, Carex caroliniana,0,a Climate Segment d Climate Segment
88,0.0053, Carex comosa,0.006667742,a Climate Segment d Climate Segment
89,0, Carex crus-corvi,0,a Climate Segment d Climate Segment
90,0, Carex davisii,0,a Climate Segment d Climate Segment
91,0, Carex debilis,0,a Climate Segment d Climate Segment
92,0.0182, Carex diandra,0.019682496,a Climate Segment d Climate Segment
93,0, Carex festucacea,0,a Climate Segment d Climate Segment
94,0, Carex frankii,0,a Climate Segment d Climate Segment
95,0, Carex glaucodea,0,a Climate Segment d Climate Segment
96,0, Carex louisianica,0,a Climate Segment d Climate Segment
97,0, Carex muehlenbergii,0,a Climate Segment d Climate Segment
98,0.0143, Carex oligosperma,0.01587758,a Climate Segment d Climate Segment
99,0, Carex pellita,0,a Climate Segment d Climate Segment
100,0.0336, Carex pensylvanica,0.034827907,a Climate Segment d Climate Segment
101,0, Carex retroflexa,0,a Climate Segment d Climate Segment
102,0.005, Carex scoparia,0.006315789,a Climate Segment d Climate Segment
103,0, Carex shortiana,0,a Climate Segment d Climate Segment
104,0.0143, Carex siccata,0.01587758,a Climate Segment d Climate Segment
105,0, Carex squarrosa,0,a Climate Segment d Climate Segment
106,0.0041, Carex stricta,0.005264198,a Climate Segment d Climate Segment
107,0.0126, Carex suberecta,0.01456,a Climate Segment d Climate Segment
108,0.0143, Carex tonsa,0.01587758,a Climate Segment d Climate Segment
109,0.0011, Carex trisperma,0.001518584,a Climate Segment d Climate Segment
110,0, Carex typhina,0,a Climate Segment d Climate Segment
111,0, Carex virescens,0,a Climate Segment d Climate Segment
112,0.0025, Carex viridula,0.003347639,a Climate Segment d Climate Segment
113,0, Carex willdenowii,0,a Climate Segment d Climate Segment
114,0, Carya illinoinensis,0,a Climate Segment d Climate Segment
115,0, Carya tomentosa,0,a Climate Segment d Climate Segment
116,0, Castanea dentata,0,a Climate Segment d Climate Segment
117,4.00E-04, Castilleja coccinea,0.000576443,a Climate Segment d Climate Segment
118,0, Catalpa speciosa,0,a Climate Segment d Climate Segment
119,0, Ceanothus americanus,0,a Climate Segment d Climate Segment
