,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,b Climate Segment c Climate Segment
2,0, Acalypha ostryifolia,0,b Climate Segment c Climate Segment
3,0, Acalypha virginica,0,b Climate Segment c Climate Segment
4,0, Actaea racemosa,0,b Climate Segment c Climate Segment
5,1.00E-04, Aesculus flava,0.000117293,b Climate Segment c Climate Segment
6,0, Agalinis paupercula,0,b Climate Segment c Climate Segment
7,0, Agrimonia gryposepala,0,b Climate Segment c Climate Segment
8,0, Agrostis elliottiana,0,b Climate Segment c Climate Segment
9,0, Agrostis scabra,0,b Climate Segment c Climate Segment
10,0, Aletris farinosa,0,b Climate Segment c Climate Segment
11,1.00E-04, Alnus incana,0.000117293,b Climate Segment c Climate Segment
12,0, Alopecurus aequalis,0,b Climate Segment c Climate Segment
13,0, Alopecurus carolinianus,0,b Climate Segment c Climate Segment
14,0, Ambrosia artemisiifolia,0,b Climate Segment c Climate Segment
15,0, Ammannia robusta,0,b Climate Segment c Climate Segment
16,0, Amorpha canescens,0,b Climate Segment c Climate Segment
17,0, Amorpha fruticosa,0,b Climate Segment c Climate Segment
18,0, Ampelopsis cordata,0,b Climate Segment c Climate Segment
19,0, Amsonia tabernaemontana,0,b Climate Segment c Climate Segment
20,0.0084, Andromeda polifolia,0.008509091,b Climate Segment c Climate Segment
21,0, Andropogon gyrans,0,b Climate Segment c Climate Segment
22,0, Andropogon virginicus,0,b Climate Segment c Climate Segment
23,0, Anemone americana,0,b Climate Segment c Climate Segment
24,0, Anemone cylindrica,0,b Climate Segment c Climate Segment
25,0.0042, Anemone quinquefolia,0.004275367,b Climate Segment c Climate Segment
26,0, Angelica venenosa,0,b Climate Segment c Climate Segment
27,0, Apios americana,0,b Climate Segment c Climate Segment
28,0, Apocynum androsaemifolium,0,b Climate Segment c Climate Segment
29,0, Arabidopsis lyrata,0,b Climate Segment c Climate Segment
30,0, Aralia nudicaulis,0,b Climate Segment c Climate Segment
31,0, Aralia spinosa,0,b Climate Segment c Climate Segment
32,0, Aristida dichotoma,0,b Climate Segment c Climate Segment
33,0, Aristida longespica,0,b Climate Segment c Climate Segment
34,0, Aristida oligantha,0,b Climate Segment c Climate Segment
35,0, Aristida purpurascens,0,b Climate Segment c Climate Segment
36,0, Aristida ramosissima,0,b Climate Segment c Climate Segment
37,1.00E-04, Arnoglossum plantagineum,0.000117293,b Climate Segment c Climate Segment
38,0, Arnoglossum reniforme,0,b Climate Segment c Climate Segment
39,0, Aronia melanocarpa,0,b Climate Segment c Climate Segment
40,0, Artemisia campestris,0,b Climate Segment c Climate Segment
41,0, Aruncus dioicus,0,b Climate Segment c Climate Segment
42,0, Arundinaria gigantea,0,b Climate Segment c Climate Segment
43,0, Asclepias amplexicaulis,0,b Climate Segment c Climate Segment
44,0, Asclepias hirtella,0,b Climate Segment c Climate Segment
45,0, Asclepias perennis,0,b Climate Segment c Climate Segment
46,0, Asclepias purpurascens,0,b Climate Segment c Climate Segment
47,0, Asclepias quadrifolia,0,b Climate Segment c Climate Segment
48,0, Asclepias variegata,0,b Climate Segment c Climate Segment
49,0, Asclepias verticillata,0,b Climate Segment c Climate Segment
50,0, Asclepias viridiflora,0,b Climate Segment c Climate Segment
51,0, Asplenium platyneuron,0,b Climate Segment c Climate Segment
52,0, Asplenium rhizophyllum,0,b Climate Segment c Climate Segment
53,0, Astragalus canadensis,0,b Climate Segment c Climate Segment
54,0, Aureolaria pedicularia,0,b Climate Segment c Climate Segment
55,0, Aureolaria virginica,0,b Climate Segment c Climate Segment
56,0, Baptisia alba,0,b Climate Segment c Climate Segment
57,0, Baptisia australis,0,b Climate Segment c Climate Segment
58,6.00E-04, Baptisia leucophaea,0.000656842,b Climate Segment c Climate Segment
59,0, Bartonia virginica,0,b Climate Segment c Climate Segment
60,1.00E-04, Betula alleghaniensis,0.000117293,b Climate Segment c Climate Segment
61,0, Betula nigra,0,b Climate Segment c Climate Segment
62,0, Betula pumila,0,b Climate Segment c Climate Segment
63,0, Bidens aristosa,0,b Climate Segment c Climate Segment
64,0.0041, Bidens connata,0.004180392,b Climate Segment c Climate Segment
65,0.0011, Bidens trichosperma,0.001161421,b Climate Segment c Climate Segment
66,0, Bignonia capreolata,0,b Climate Segment c Climate Segment
67,0.0102, Borodinia dentata,0.010315721,b Climate Segment c Climate Segment
68,4.00E-04, Brasenia schreberi,0.000448115,b Climate Segment c Climate Segment
69,1.00E-04, Bromus ciliatus,0.000117293,b Climate Segment c Climate Segment
70,0, Bulbostylis capillaris,0,b Climate Segment c Climate Segment
71,0, Calamagrostis canadensis,0,b Climate Segment c Climate Segment
72,0, Calamagrostis stricta,0,b Climate Segment c Climate Segment
73,0, Callitriche terrestris,0,b Climate Segment c Climate Segment
74,0, Calopogon tuberosus,0,b Climate Segment c Climate Segment
75,0, Calycocarpum lyonii,0,b Climate Segment c Climate Segment
76,0, Calystegia catesbeiana,0,b Climate Segment c Climate Segment
77,0, Campanula aparinoides,0,b Climate Segment c Climate Segment
78,0, Campanula rotundifolia,0,b Climate Segment c Climate Segment
79,0, Cardamine angustata,0,b Climate Segment c Climate Segment
80,0, Cardamine parviflora,0,b Climate Segment c Climate Segment
81,0, Carex albolutescens,0,b Climate Segment c Climate Segment
82,0, Carex annectens,0,b Climate Segment c Climate Segment
83,0, Carex bicknellii,0,b Climate Segment c Climate Segment
84,0, Carex bushii,0,b Climate Segment c Climate Segment
85,0, Carex buxbaumii,0,b Climate Segment c Climate Segment
86,1.00E-04, Carex canescens,0.000117293,b Climate Segment c Climate Segment
87,0, Carex caroliniana,0,b Climate Segment c Climate Segment
88,1.00E-04, Carex comosa,0.000117293,b Climate Segment c Climate Segment
89,0, Carex crus-corvi,0,b Climate Segment c Climate Segment
90,3.00E-04, Carex davisii,0.000340364,b Climate Segment c Climate Segment
91,0, Carex debilis,0,b Climate Segment c Climate Segment
92,6.00E-04, Carex diandra,0.000656842,b Climate Segment c Climate Segment
93,0, Carex festucacea,0,b Climate Segment c Climate Segment
94,0, Carex frankii,0,b Climate Segment c Climate Segment
95,0, Carex glaucodea,0,b Climate Segment c Climate Segment
96,0, Carex louisianica,0,b Climate Segment c Climate Segment
97,0, Carex muehlenbergii,0,b Climate Segment c Climate Segment
98,7.00E-04, Carex oligosperma,0.000746667,b Climate Segment c Climate Segment
99,0, Carex pellita,0,b Climate Segment c Climate Segment
100,8.00E-04, Carex pensylvanica,0.000847538,b Climate Segment c Climate Segment
101,0, Carex retroflexa,0,b Climate Segment c Climate Segment
102,0, Carex scoparia,0,b Climate Segment c Climate Segment
