,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,b Climate Segment e Climate Segment
2,0, Acalypha ostryifolia,0,b Climate Segment e Climate Segment
3,0, Acalypha virginica,0,b Climate Segment e Climate Segment
4,0, Actaea racemosa,0,b Climate Segment e Climate Segment
5,0.0057, Aesculus flava,0.005727536,b Climate Segment e Climate Segment
6,0, Agalinis paupercula,0,b Climate Segment e Climate Segment
7,0, Agrimonia gryposepala,0,b Climate Segment e Climate Segment
8,0, Agrostis elliottiana,0,b Climate Segment e Climate Segment
9,0, Agrostis scabra,0,b Climate Segment e Climate Segment
10,0, Aletris farinosa,0,b Climate Segment e Climate Segment
11,2.00E-04, Alnus incana,0.00022167,b Climate Segment e Climate Segment
12,0, Alopecurus aequalis,0,b Climate Segment e Climate Segment
13,0, Alopecurus carolinianus,0,b Climate Segment e Climate Segment
14,0, Ambrosia artemisiifolia,0,b Climate Segment e Climate Segment
15,0, Ammannia robusta,0,b Climate Segment e Climate Segment
16,0, Amorpha canescens,0,b Climate Segment e Climate Segment
17,0, Amorpha fruticosa,0,b Climate Segment e Climate Segment
18,0, Ampelopsis cordata,0,b Climate Segment e Climate Segment
19,0, Amsonia tabernaemontana,0,b Climate Segment e Climate Segment
20,0.0018, Andromeda polifolia,0.001823377,b Climate Segment e Climate Segment
21,0, Andropogon gyrans,0,b Climate Segment e Climate Segment
22,0, Andropogon virginicus,0,b Climate Segment e Climate Segment
23,0, Anemone americana,0,b Climate Segment e Climate Segment
24,0, Anemone cylindrica,0,b Climate Segment e Climate Segment
25,3.00E-04, Anemone quinquefolia,0.000323875,b Climate Segment e Climate Segment
26,0, Angelica venenosa,0,b Climate Segment e Climate Segment
27,0, Apios americana,0,b Climate Segment e Climate Segment
28,0, Apocynum androsaemifolium,0,b Climate Segment e Climate Segment
29,0, Arabidopsis lyrata,0,b Climate Segment e Climate Segment
30,0, Aralia nudicaulis,0,b Climate Segment e Climate Segment
31,0, Aralia spinosa,0,b Climate Segment e Climate Segment
32,0, Aristida dichotoma,0,b Climate Segment e Climate Segment
33,0, Aristida longespica,0,b Climate Segment e Climate Segment
34,0, Aristida oligantha,0,b Climate Segment e Climate Segment
35,0, Aristida purpurascens,0,b Climate Segment e Climate Segment
36,0, Aristida ramosissima,0,b Climate Segment e Climate Segment
37,1.00E-04, Arnoglossum plantagineum,0.000113869,b Climate Segment e Climate Segment
38,0, Arnoglossum reniforme,0,b Climate Segment e Climate Segment
39,0, Aronia melanocarpa,0,b Climate Segment e Climate Segment
40,0, Artemisia campestris,0,b Climate Segment e Climate Segment
41,0, Aruncus dioicus,0,b Climate Segment e Climate Segment
42,0, Arundinaria gigantea,0,b Climate Segment e Climate Segment
43,0, Asclepias amplexicaulis,0,b Climate Segment e Climate Segment
44,0, Asclepias hirtella,0,b Climate Segment e Climate Segment
45,0, Asclepias perennis,0,b Climate Segment e Climate Segment
46,0, Asclepias purpurascens,0,b Climate Segment e Climate Segment
47,0, Asclepias quadrifolia,0,b Climate Segment e Climate Segment
48,0, Asclepias variegata,0,b Climate Segment e Climate Segment
49,0, Asclepias verticillata,0,b Climate Segment e Climate Segment
50,0, Asclepias viridiflora,0,b Climate Segment e Climate Segment
51,0, Asplenium platyneuron,0,b Climate Segment e Climate Segment
52,0, Asplenium rhizophyllum,0,b Climate Segment e Climate Segment
53,0, Astragalus canadensis,0,b Climate Segment e Climate Segment
54,0, Aureolaria pedicularia,0,b Climate Segment e Climate Segment
55,0, Aureolaria virginica,0,b Climate Segment e Climate Segment
56,0, Baptisia alba,0,b Climate Segment e Climate Segment
57,1.00E-04, Baptisia australis,0.000113869,b Climate Segment e Climate Segment
58,3.00E-04, Baptisia leucophaea,0.000323875,b Climate Segment e Climate Segment
59,0, Bartonia virginica,0,b Climate Segment e Climate Segment
60,2.00E-04, Betula alleghaniensis,0.00022167,b Climate Segment e Climate Segment
61,0, Betula nigra,0,b Climate Segment e Climate Segment
62,0, Betula pumila,0,b Climate Segment e Climate Segment
63,0, Bidens aristosa,0,b Climate Segment e Climate Segment
64,3.00E-04, Bidens connata,0.000323875,b Climate Segment e Climate Segment
65,0, Bidens trichosperma,0,b Climate Segment e Climate Segment
66,0, Bignonia capreolata,0,b Climate Segment e Climate Segment
67,0.0021, Borodinia dentata,0.002116963,b Climate Segment e Climate Segment
68,1.00E-04, Brasenia schreberi,0.000113869,b Climate Segment e Climate Segment
69,0, Bromus ciliatus,0,b Climate Segment e Climate Segment
70,0, Bulbostylis capillaris,0,b Climate Segment e Climate Segment
71,0, Calamagrostis canadensis,0,b Climate Segment e Climate Segment
72,0, Calamagrostis stricta,0,b Climate Segment e Climate Segment
73,0, Callitriche terrestris,0,b Climate Segment e Climate Segment
74,0, Calopogon tuberosus,0,b Climate Segment e Climate Segment
75,0, Calycocarpum lyonii,0,b Climate Segment e Climate Segment
76,0, Calystegia catesbeiana,0,b Climate Segment e Climate Segment
77,0, Campanula aparinoides,0,b Climate Segment e Climate Segment
78,0, Campanula rotundifolia,0,b Climate Segment e Climate Segment
79,0, Cardamine angustata,0,b Climate Segment e Climate Segment
80,0, Cardamine parviflora,0,b Climate Segment e Climate Segment
81,0, Carex albolutescens,0,b Climate Segment e Climate Segment
82,0, Carex annectens,0,b Climate Segment e Climate Segment
83,0, Carex bicknellii,0,b Climate Segment e Climate Segment
84,0, Carex bushii,0,b Climate Segment e Climate Segment
85,0, Carex buxbaumii,0,b Climate Segment e Climate Segment
86,0, Carex canescens,0,b Climate Segment e Climate Segment
87,0, Carex caroliniana,0,b Climate Segment e Climate Segment
88,0, Carex comosa,0,b Climate Segment e Climate Segment
89,0, Carex crus-corvi,0,b Climate Segment e Climate Segment
90,0, Carex davisii,0,b Climate Segment e Climate Segment
91,0, Carex debilis,0,b Climate Segment e Climate Segment
92,3.00E-04, Carex diandra,0.000323875,b Climate Segment e Climate Segment
93,0, Carex festucacea,0,b Climate Segment e Climate Segment
94,0, Carex frankii,0,b Climate Segment e Climate Segment
95,0, Carex glaucodea,0,b Climate Segment e Climate Segment
96,0, Carex louisianica,0,b Climate Segment e Climate Segment
97,0, Carex muehlenbergii,0,b Climate Segment e Climate Segment
98,7.00E-04, Carex oligosperma,0.000717241,b Climate Segment e Climate Segment
99,0, Carex pellita,0,b Climate Segment e Climate Segment
100,0, Carex pensylvanica,0,b Climate Segment e Climate Segment
101,0, Carex retroflexa,0,b Climate Segment e Climate Segment
102,0, Carex scoparia,0,b Climate Segment e Climate Segment
103,0, Carex shortiana,0,b Climate Segment e Climate Segment
104,7.00E-04, Carex siccata,0.000717241,b Climate Segment e Climate Segment
105,0, Carex squarrosa,0,b Climate Segment e Climate Segment
106,0, Carex stricta,0,b Climate Segment e Climate Segment
107,0, Carex suberecta,0,b Climate Segment e Climate Segment
108,7.00E-04, Carex tonsa,0.000717241,b Climate Segment e Climate Segment
109,0, Carex trisperma,0,b Climate Segment e Climate Segment
110,0, Carex typhina,0,b Climate Segment e Climate Segment
111,0, Carex virescens,0,b Climate Segment e Climate Segment
112,0, Carex viridula,0,b Climate Segment e Climate Segment
113,0, Carex willdenowii,0,b Climate Segment e Climate Segment
114,0, Carya illinoinensis,0,b Climate Segment e Climate Segment
115,0, Carya tomentosa,0,b Climate Segment e Climate Segment
116,1.00E-04, Castanea dentata,0.000113869,b Climate Segment e Climate Segment
117,0, Castilleja coccinea,0,b Climate Segment e Climate Segment
118,0, Catalpa speciosa,0,b Climate Segment e Climate Segment
119,0, Ceanothus americanus,0,b Climate Segment e Climate Segment
120,0, Celtis laevigata,0,b Climate Segment e Climate Segment
121,0, Celtis tenuifolia,0,b Climate Segment e Climate Segment
122,0, Cerastium nutans,0,b Climate Segment e Climate Segment
123,0, Ceratophyllum demersum,0,b Climate Segment e Climate Segment
124,0, Chaerophyllum procumbens,0,b Climate Segment e Climate Segment
125,0, Chamaecrista nictitans,0,b Climate Segment e Climate Segment
126,0, Chamaedaphne calyculata,0,b Climate Segment e Climate Segment
127,0, Chamaenerion angustifolium,0,b Climate Segment e Climate Segment
128,0, Chasmanthium latifolium,0,b Climate Segment e Climate Segment
129,0, Chenopodiastrum simplex,0,b Climate Segment e Climate Segment
130,0, Chenopodium pratericola,0,b Climate Segment e Climate Segment
131,0, Chimaphila umbellata,0,b Climate Segment e Climate Segment
132,0, Cicuta bulbifera,0,b Climate Segment e Climate Segment
133,0, Cirsium carolinianum,0,b Climate Segment e Climate Segment
134,0.0029, Cirsium discolor,0.00291871,b Climate Segment e Climate Segment
135,0, Cirsium muticum,0,b Climate Segment e Climate Segment
136,0, Cirsium pumilum,0,b Climate Segment e Climate Segment
137,0, Cladium mariscoides,0,b Climate Segment e Climate Segment
138,0, Clematis pitcheri,0,b Climate Segment e Climate Segment
139,0, Clitoria mariana,0,b Climate Segment e Climate Segment
140,0, Cocculus carolinus,0,b Climate Segment e Climate Segment
141,0, Coleataenia anceps,0,b Climate Segment e Climate Segment
142,0, Coleataenia rigidula,0,b Climate Segment e Climate Segment
143,0.0345, Coleataenia stipitata,0.0345,b Climate Segment e Climate Segment
144,0, Comandra umbellata,0,b Climate Segment e Climate Segment
145,0, Comarum palustre,0,b Climate Segment e Climate Segment
146,0, Commelina diffusa,0,b Climate Segment e Climate Segment
147,0, Commelina erecta,0,b Climate Segment e Climate Segment
148,0, Commelina virginica,0,b Climate Segment e Climate Segment
149,0, Comptonia peregrina,0,b Climate Segment e Climate Segment
150,0, Conoclinium coelestinum,0,b Climate Segment e Climate Segment
151,3.00E-04, Coptis trifolia,0.000323875,b Climate Segment e Climate Segment
152,0, Corallorhiza wisteriana,0,b Climate Segment e Climate Segment
153,0, Coreopsis palmata,0,b Climate Segment e Climate Segment
154,0, Coreopsis tripteris,0,b Climate Segment e Climate Segment
155,0, Cornus drummondii,0,b Climate Segment e Climate Segment
156,0, Cornus foemina,0,b Climate Segment e Climate Segment
157,0, Cornus racemosa,0,b Climate Segment e Climate Segment
158,0, Cornus sericea,0,b Climate Segment e Climate Segment
159,0, Corydalis flavula,0,b Climate Segment e Climate Segment
160,0, Crataegus viridis,0,b Climate Segment e Climate Segment
161,5.00E-04, Crocanthemum bicknellii,0.00052349,b Climate Segment e Climate Segment
162,0, Crocanthemum canadense,0,b Climate Segment e Climate Segment
163,0, Cunila origanoides,0,b Climate Segment e Climate Segment
164,0, Cuphea viscosissima,0,b Climate Segment e Climate Segment
165,0, Cuscuta campestris,0,b Climate Segment e Climate Segment
166,0, Cuscuta compacta,0,b Climate Segment e Climate Segment
167,0, Cycloloma atriplicifolium,0,b Climate Segment e Climate Segment
168,0, Cynanchum laeve,0,b Climate Segment e Climate Segment
169,0, Cynoglossum virginianum,0,b Climate Segment e Climate Segment
170,5.00E-04, Cyperus diandrus,0.00052349,b Climate Segment e Climate Segment
171,0, Cyperus flavescens,0,b Climate Segment e Climate Segment
172,0, Cyperus lupulinus,0,b Climate Segment e Climate Segment
173,0, Cyperus pseudovegetus,0,b Climate Segment e Climate Segment
174,5.00E-04, Cypripedium acaule,0.00052349,b Climate Segment e Climate Segment
175,0, Cypripedium candidum,0,b Climate Segment e Climate Segment
176,2.00E-04, Dasiphora fruticosa,0.00022167,b Climate Segment e Climate Segment
177,1.00E-04, Decodon verticillatus,0.000113869,b Climate Segment e Climate Segment
178,0, Delphinium tricorne,0,b Climate Segment e Climate Segment
179,0, Desmanthus illinoensis,0,b Climate Segment e Climate Segment
180,0, Desmodium illinoense,0,b Climate Segment e Climate Segment
181,0, Desmodium laevigatum,0,b Climate Segment e Climate Segment
182,0, Desmodium nuttallii,0,b Climate Segment e Climate Segment
183,0, Desmodium sessilifolium,0,b Climate Segment e Climate Segment
184,0, Dianthus armeria,0,b Climate Segment e Climate Segment
185,0, Diarrhena americana,0,b Climate Segment e Climate Segment
186,0, Dichanthelium boscii,0,b Climate Segment e Climate Segment
187,0, Dichanthelium commutatum,0,b Climate Segment e Climate Segment
188,0, Dichanthelium depauperatum,0,b Climate Segment e Climate Segment
189,0, Dichanthelium dichotomum,0,b Climate Segment e Climate Segment
190,0, Dichanthelium latifolium,0,b Climate Segment e Climate Segment
191,0, Dichanthelium laxiflorum,0,b Climate Segment e Climate Segment
192,0, Dichanthelium oligosanthes,0,b Climate Segment e Climate Segment
193,0, Dichanthelium ovale,0,b Climate Segment e Climate Segment
194,0, Dichanthelium perlongum,0,b Climate Segment e Climate Segment
195,0, Dichanthelium polyanthes,0,b Climate Segment e Climate Segment
196,0, Dicliptera brachiata,0,b Climate Segment e Climate Segment
197,3.00E-04, Diervilla lonicera,0.000323875,b Climate Segment e Climate Segment
198,0, Digitaria cognata,0,b Climate Segment e Climate Segment
199,0, Dinebra panicea,0,b Climate Segment e Climate Segment
200,0, Diodia teres,0,b Climate Segment e Climate Segment
201,0, Diospyros virginiana,0,b Climate Segment e Climate Segment
202,0, Doellingeria umbellata,0,b Climate Segment e Climate Segment
203,7.00E-04, Drosera intermedia,0.000717241,b Climate Segment e Climate Segment
204,5.00E-04, Drosera rotundifolia,0.00052349,b Climate Segment e Climate Segment
205,6.00E-04, Drymocallis arguta,0.000627136,b Climate Segment e Climate Segment
206,0, Dryopteris carthusiana,0,b Climate Segment e Climate Segment
207,0, Dryopteris cristata,0,b Climate Segment e Climate Segment
208,0, Dulichium arundinaceum,0,b Climate Segment e Climate Segment
209,0, Echinochloa walteri,0,b Climate Segment e Climate Segment
210,2.00E-04, Echinocystis lobata,0.00022167,b Climate Segment e Climate Segment
211,0, Echinodorus cordifolius,0,b Climate Segment e Climate Segment
212,0, Eleocharis acicularis,0,b Climate Segment e Climate Segment
213,0, Eleocharis erythropoda,0,b Climate Segment e Climate Segment
214,0, Eleocharis flavescens,0,b Climate Segment e Climate Segment
215,0, Eleocharis verrucosa,0,b Climate Segment e Climate Segment
216,0, Elephantopus carolinianus,0,b Climate Segment e Climate Segment
217,5.00E-04, Elodea nuttallii,0.00052349,b Climate Segment e Climate Segment
218,0, Elymus canadensis,0,b Climate Segment e Climate Segment
219,2.00E-04, Elymus repens,0.00022167,b Climate Segment e Climate Segment
220,1.00E-04, Elymus trachycaulus,0.000113869,b Climate Segment e Climate Segment
221,2.00E-04, Epilobium leptophyllum,0.00022167,b Climate Segment e Climate Segment
222,0, Equisetum fluviatile,0,b Climate Segment e Climate Segment
223,0, Eragrostis capillaris,0,b Climate Segment e Climate Segment
224,0, Eriophorum virginicum,0,b Climate Segment e Climate Segment
225,0, Eriophorum viridicarinatum,0,b Climate Segment e Climate Segment
226,0, Eryngium yuccifolium,0,b Climate Segment e Climate Segment
227,0, Euonymus americanus,0,b Climate Segment e Climate Segment
228,0, Eupatorium serotinum,0,b Climate Segment e Climate Segment
229,0, Eupatorium sessilifolium,0,b Climate Segment e Climate Segment
230,0, Euphorbia humistrata,0,b Climate Segment e Climate Segment
231,2.00E-04, Eurybia macrophylla,0.00022167,b Climate Segment e Climate Segment
232,0, Euthamia gymnospermoides,0,b Climate Segment e Climate Segment
233,9.00E-04, Eutrochium fistulosum,0.000919149,b Climate Segment e Climate Segment
234,0, Eutrochium maculatum,0,b Climate Segment e Climate Segment
