,pvalues,speciesName,padj,model
1,0.0069, Acalypha deamii,0.008715789,b Climate Segment f Climate Segment
2,0, Acalypha ostryifolia,0,b Climate Segment f Climate Segment
3,0.0156, Acalypha virginica,0.017413953,b Climate Segment f Climate Segment
4,0.0527, Actaea racemosa,0.054808,b Climate Segment f Climate Segment
5,0.001, Aesculus flava,0.001405405,b Climate Segment f Climate Segment
6,0, Agalinis paupercula,0,b Climate Segment f Climate Segment
7,0, Agrimonia gryposepala,0,b Climate Segment f Climate Segment
8,0, Agrostis elliottiana,0,b Climate Segment f Climate Segment
9,0, Agrostis scabra,0,b Climate Segment f Climate Segment
10,0, Aletris farinosa,0,b Climate Segment f Climate Segment
11,1.00E-04, Alnus incana,0.000181924,b Climate Segment f Climate Segment
12,1.00E-04, Alopecurus aequalis,0.000181924,b Climate Segment f Climate Segment
13,0.0026, Alopecurus carolinianus,0.003444586,b Climate Segment f Climate Segment
14,1.00E-04, Ambrosia artemisiifolia,0.000181924,b Climate Segment f Climate Segment
15,1.00E-04, Ammannia robusta,0.000181924,b Climate Segment f Climate Segment
16,0, Amorpha canescens,0,b Climate Segment f Climate Segment
17,3.00E-04, Amorpha fruticosa,0.000466833,b Climate Segment f Climate Segment
18,0, Ampelopsis cordata,0,b Climate Segment f Climate Segment
19,0.0104, Amsonia tabernaemontana,0.012361143,b Climate Segment f Climate Segment
20,8.00E-04, Andromeda polifolia,0.001158237,b Climate Segment f Climate Segment
21,7.00E-04, Andropogon gyrans,0.001030189,b Climate Segment f Climate Segment
22,0, Andropogon virginicus,0,b Climate Segment f Climate Segment
23,0, Anemone americana,0,b Climate Segment f Climate Segment
24,0, Anemone cylindrica,0,b Climate Segment f Climate Segment
25,2.00E-04, Anemone quinquefolia,0.000326702,b Climate Segment f Climate Segment
26,0.0162, Angelica venenosa,0.018051429,b Climate Segment f Climate Segment
27,3.00E-04, Apios americana,0.000466833,b Climate Segment f Climate Segment
28,0, Apocynum androsaemifolium,0,b Climate Segment f Climate Segment
29,0, Arabidopsis lyrata,0,b Climate Segment f Climate Segment
30,0, Aralia nudicaulis,0,b Climate Segment f Climate Segment
31,0, Aralia spinosa,0,b Climate Segment f Climate Segment
32,0, Aristida dichotoma,0,b Climate Segment f Climate Segment
33,0.0102, Aristida longespica,0.012146565,b Climate Segment f Climate Segment
