,pvalues,speciesName,padj,model
1,0, Acalypha deamii,0,c Climate Segment e Climate Segment
2,0, Acalypha ostryifolia,0,c Climate Segment e Climate Segment
3,0, Acalypha virginica,0,c Climate Segment e Climate Segment
4,0, Actaea racemosa,0,c Climate Segment e Climate Segment
5,0.0094, Aesculus flava,0.009460645,c Climate Segment e Climate Segment
6,0, Agalinis paupercula,0,c Climate Segment e Climate Segment
7,0, Agrimonia gryposepala,0,c Climate Segment e Climate Segment
8,0, Agrostis elliottiana,0,c Climate Segment e Climate Segment
9,0, Agrostis scabra,0,c Climate Segment e Climate Segment
10,0, Aletris farinosa,0,c Climate Segment e Climate Segment
11,3.00E-04, Alnus incana,0.000312,c Climate Segment e Climate Segment
12,0, Alopecurus aequalis,0,c Climate Segment e Climate Segment
13,0, Alopecurus carolinianus,0,c Climate Segment e Climate Segment
14,0, Ambrosia artemisiifolia,0,c Climate Segment e Climate Segment
15,0, Ammannia robusta,0,c Climate Segment e Climate Segment
16,0, Amorpha canescens,0,c Climate Segment e Climate Segment
17,0, Amorpha fruticosa,0,c Climate Segment e Climate Segment
18,0, Ampelopsis cordata,0,c Climate Segment e Climate Segment
19,0, Amsonia tabernaemontana,0,c Climate Segment e Climate Segment
20,1.00E-04, Andromeda polifolia,0.000105584,c Climate Segment e Climate Segment
21,0, Andropogon gyrans,0,c Climate Segment e Climate Segment
22,0, Andropogon virginicus,0,c Climate Segment e Climate Segment
23,0, Anemone americana,0,c Climate Segment e Climate Segment
24,0, Anemone cylindrica,0,c Climate Segment e Climate Segment
25,0, Anemone quinquefolia,0,c Climate Segment e Climate Segment
26,0, Angelica venenosa,0,c Climate Segment e Climate Segment
27,0, Apios americana,0,c Climate Segment e Climate Segment
28,0, Apocynum androsaemifolium,0,c Climate Segment e Climate Segment
29,0, Arabidopsis lyrata,0,c Climate Segment e Climate Segment
30,0, Aralia nudicaulis,0,c Climate Segment e Climate Segment
31,0, Aralia spinosa,0,c Climate Segment e Climate Segment
32,0, Aristida dichotoma,0,c Climate Segment e Climate Segment
33,0, Aristida longespica,0,c Climate Segment e Climate Segment
34,0, Aristida oligantha,0,c Climate Segment e Climate Segment
35,0, Aristida purpurascens,0,c Climate Segment e Climate Segment
36,0, Aristida ramosissima,0,c Climate Segment e Climate Segment
37,0, Arnoglossum plantagineum,0,c Climate Segment e Climate Segment
38,0, Arnoglossum reniforme,0,c Climate Segment e Climate Segment
39,0, Aronia melanocarpa,0,c Climate Segment e Climate Segment
40,0, Artemisia campestris,0,c Climate Segment e Climate Segment
41,0, Aruncus dioicus,0,c Climate Segment e Climate Segment
42,0, Arundinaria gigantea,0,c Climate Segment e Climate Segment
43,0, Asclepias amplexicaulis,0,c Climate Segment e Climate Segment
44,0, Asclepias hirtella,0,c Climate Segment e Climate Segment
45,0, Asclepias perennis,0,c Climate Segment e Climate Segment
46,0, Asclepias purpurascens,0,c Climate Segment e Climate Segment
47,1.00E-04, Asclepias quadrifolia,0.000105584,c Climate Segment e Climate Segment
48,0, Asclepias variegata,0,c Climate Segment e Climate Segment
