<<<<<<< HEAD
,pvalues,speciesName,padj,model
1,0.0436, Acalypha deamii,0.051625047,c Climate Segment f Climate Segment
2,5.00E-04, Acalypha ostryifolia,0.000883853,c Climate Segment f Climate Segment
3,0.0645, Acalypha virginica,0.071871429,c Climate Segment f Climate Segment
4,0.0977, Actaea racemosa,0.10315533,c Climate Segment f Climate Segment
5,0.0047, Aesculus flava,0.006982857,c Climate Segment f Climate Segment
6,0, Agalinis paupercula,0,c Climate Segment f Climate Segment
7,0, Agrimonia gryposepala,0,c Climate Segment f Climate Segment
8,9.00E-04, Agrostis elliottiana,0.001542857,c Climate Segment f Climate Segment
9,0, Agrostis scabra,0,c Climate Segment f Climate Segment
10,0, Aletris farinosa,0,c Climate Segment f Climate Segment
11,1.00E-04, Alnus incana,0.000192593,c Climate Segment f Climate Segment
12,0, Alopecurus aequalis,0,c Climate Segment f Climate Segment
13,0.029, Alopecurus carolinianus,0.035692308,c Climate Segment f Climate Segment
14,0, Ambrosia artemisiifolia,0,c Climate Segment f Climate Segment
15,0.0014, Ammannia robusta,0.002335829,c Climate Segment f Climate Segment
16,0, Amorpha canescens,0,c Climate Segment f Climate Segment
17,0.0031, Amorpha fruticosa,0.004764532,c Climate Segment f Climate Segment
18,7.00E-04, Ampelopsis cordata,0.001213333,c Climate Segment f Climate Segment
19,0.063, Amsonia tabernaemontana,0.070451613,c Climate Segment f Climate Segment
20,0, Andromeda polifolia,0,c Climate Segment f Climate Segment
21,0.0055, Andropogon gyrans,0.008056338,c Climate Segment f Climate Segment
22,0.0015, Andropogon virginicus,0.002489362,c Climate Segment f Climate Segment
23,0, Anemone americana,0,c Climate Segment f Climate Segment
24,0, Anemone cylindrica,0,c Climate Segment f Climate Segment
25,0, Anemone quinquefolia,0,c Climate Segment f Climate Segment
26,0.084, Angelica venenosa,0.089753425,c Climate Segment f Climate Segment
27,1.00E-04, Apios americana,0.000192593,c Climate Segment f Climate Segment
28,0, Apocynum androsaemifolium,0,c Climate Segment f Climate Segment
29,0, Arabidopsis lyrata,0,c Climate Segment f Climate Segment
30,0, Aralia nudicaulis,0,c Climate Segment f Climate Segment
31,0, Aralia spinosa,0,c Climate Segment f Climate Segment
32,5.00E-04, Aristida dichotoma,0.000883853,c Climate Segment f Climate Segment
33,0.0907, Aristida longespica,0.096253061,c Climate Segment f Climate Segment
34,0.0173, Aristida oligantha,0.0225841,c Climate Segment f Climate Segment
35,0, Aristida purpurascens,0,c Climate Segment f Climate Segment
36,0.0781, Aristida ramosissima,0.084024828,c Climate Segment f Climate Segment
37,0, Arnoglossum plantagineum,0,c Climate Segment f Climate Segment
38,0.1594, Arnoglossum reniforme,0.164951244,c Climate Segment f Climate Segment
39,0, Aronia melanocarpa,0,c Climate Segment f Climate Segment
40,0, Artemisia campestris,0,c Climate Segment f Climate Segment
41,0.0118, Aruncus dioicus,0.015800858,c Climate Segment f Climate Segment
42,3.00E-04, Arundinaria gigantea,0.000545773,c Climate Segment f Climate Segment
43,0, Asclepias amplexicaulis,0,c Climate Segment f Climate Segment
44,0, Asclepias hirtella,0,c Climate Segment f Climate Segment
45,0.0035, Asclepias perennis,0.005288136,c Climate Segment f Climate Segment
46,0.001, Asclepias purpurascens,0.001704918,c Climate Segment f Climate Segment
47,0.002, Asclepias quadrifolia,0.003159494,c Climate Segment f Climate Segment
48,0.002, Asclepias variegata,0.003159494,c Climate Segment f Climate Segment
49,0, Asclepias verticillata,0,c Climate Segment f Climate Segment
50,0, Asclepias viridiflora,0,c Climate Segment f Climate Segment
51,0.0469, Asplenium platyneuron,0.055114124,c Climate Segment f Climate Segment
52,0.0433, Asplenium rhizophyllum,0.051465143,c Climate Segment f Climate Segment
53,0, Astragalus canadensis,0,c Climate Segment f Climate Segment
54,0, Aureolaria pedicularia,0,c Climate Segment f Climate Segment
55,0.0011, Aureolaria virginica,0.001855135,c Climate Segment f Climate Segment
56,0, Baptisia alba,0,c Climate Segment f Climate Segment
57,0.086, Baptisia australis,0.091420784,c Climate Segment f Climate Segment
58,0, Baptisia leucophaea,0,c Climate Segment f Climate Segment
59,0, Bartonia virginica,0,c Climate Segment f Climate Segment
60,0, Betula alleghaniensis,0,c Climate Segment f Climate Segment
61,0.0061, Betula nigra,0.008811111,c Climate Segment f Climate Segment
62,0, Betula pumila,0,c Climate Segment f Climate Segment
63,0.2739, Bidens aristosa,0.274780707,c Climate Segment f Climate Segment
64,0, Bidens connata,0,c Climate Segment f Climate Segment
65,0, Bidens trichosperma,0,c Climate Segment f Climate Segment
66,0.0021, Bignonia capreolata,0.003309091,c Climate Segment f Climate Segment
67,0.0011, Borodinia dentata,0.001855135,c Climate Segment f Climate Segment
68,0, Brasenia schreberi,0,c Climate Segment f Climate Segment
69,0, Bromus ciliatus,0,c Climate Segment f Climate Segment
70,0, Bulbostylis capillaris,0,c Climate Segment f Climate Segment
71,0, Calamagrostis canadensis,0,c Climate Segment f Climate Segment
72,0, Calamagrostis stricta,0,c Climate Segment f Climate Segment
73,0.0264, Callitriche terrestris,0.03262099,c Climate Segment f Climate Segment
74,0, Calopogon tuberosus,0,c Climate Segment f Climate Segment
75,0.003, Calycocarpum lyonii,0.004622222,c Climate Segment f Climate Segment
76,0.0227, Calystegia catesbeiana,0.029145679,c Climate Segment f Climate Segment
77,0, Campanula aparinoides,0,c Climate Segment f Climate Segment
78,0, Campanula rotundifolia,0,c Climate Segment f Climate Segment
79,0.0013, Cardamine angustata,0.002180645,c Climate Segment f Climate Segment
80,0.0309, Cardamine parviflora,0.037881336,c Climate Segment f Climate Segment
81,6.00E-04, Carex albolutescens,0.00104581,c Climate Segment f Climate Segment
82,0.0043, Carex annectens,0.006419139,c Climate Segment f Climate Segment
83,0, Carex bicknellii,0,c Climate Segment f Climate Segment
84,0.0264, Carex bushii,0.03262099,c Climate Segment f Climate Segment
85,1.00E-04, Carex buxbaumii,0.000192593,c Climate Segment f Climate Segment
86,0, Carex canescens,0,c Climate Segment f Climate Segment
87,0.0559, Carex caroliniana,0.063536612,c Climate Segment f Climate Segment
88,0, Carex comosa,0,c Climate Segment f Climate Segment
89,0.0506, Carex crus-corvi,0.05912809,c Climate Segment f Climate Segment
90,0.002, Carex davisii,0.003159494,c Climate Segment f Climate Segment
91,3.00E-04, Carex debilis,0.000545773,c Climate Segment f Climate Segment
92,0, Carex diandra,0,c Climate Segment f Climate Segment
93,0.0519, Carex festucacea,0.060342857,c Climate Segment f Climate Segment
94,0.015, Carex frankii,0.019872611,c Climate Segment f Climate Segment
95,9.00E-04, Carex glaucodea,0.001542857,c Climate Segment f Climate Segment
96,0.0401, Carex louisianica,0.048212717,c Climate Segment f Climate Segment
97,2.00E-04, Carex muehlenbergii,0.000370326,c Climate Segment f Climate Segment
98,1.00E-04, Carex oligosperma,0.000192593,c Climate Segment f Climate Segment
99,0, Carex pellita,0,c Climate Segment f Climate Segment
100,0, Carex pensylvanica,0,c Climate Segment f Climate Segment
101,0.1651, Carex retroflexa,0.170284959,c Climate Segment f Climate Segment
102,0, Carex scoparia,0,c Climate Segment f Climate Segment
103,0.0419, Carex shortiana,0.049991587,c Climate Segment f Climate Segment
104,1.00E-04, Carex siccata,0.000192593,c Climate Segment f Climate Segment
105,0.0371, Carex squarrosa,0.044952233,c Climate Segment f Climate Segment
106,0, Carex stricta,0,c Climate Segment f Climate Segment
107,0, Carex suberecta,0,c Climate Segment f Climate Segment
108,1.00E-04, Carex tonsa,0.000192593,c Climate Segment f Climate Segment
109,0, Carex trisperma,0,c Climate Segment f Climate Segment
110,0.0189, Carex typhina,0.024621294,c Climate Segment f Climate Segment
111,0.1007, Carex virescens,0.106143243,c Climate Segment f Climate Segment
112,0, Carex viridula,0,c Climate Segment f Climate Segment
113,0.0016, Carex willdenowii,0.002620472,c Climate Segment f Climate Segment
114,0.0947, Carya illinoinensis,0.100327334,c Climate Segment f Climate Segment
115,0.0104, Carya tomentosa,0.014294273,c Climate Segment f Climate Segment
116,0.0208, Castanea dentata,0.02687205,c Climate Segment f Climate Segment
117,0, Castilleja coccinea,0,c Climate Segment f Climate Segment
118,0.0032, Catalpa speciosa,0.004894118,c Climate Segment f Climate Segment
119,0, Ceanothus americanus,0,c Climate Segment f Climate Segment
120,0.0102, Celtis laevigata,0.014081416,c Climate Segment f Climate Segment
121,0.0498, Celtis tenuifolia,0.05841203,c Climate Segment f Climate Segment
122,0.0237, Cerastium nutans,0.030304918,c Climate Segment f Climate Segment
123,0, Ceratophyllum demersum,0,c Climate Segment f Climate Segment
124,0.0541, Chaerophyllum procumbens,0.061715539,c Climate Segment f Climate Segment
125,0.0035, Chamaecrista nictitans,0.005288136,c Climate Segment f Climate Segment
126,0, Chamaedaphne calyculata,0,c Climate Segment f Climate Segment
127,0, Chamaenerion angustifolium,0,c Climate Segment f Climate Segment
128,3.00E-04, Chasmanthium latifolium,0.000545773,c Climate Segment f Climate Segment
129,0, Chenopodiastrum simplex,0,c Climate Segment f Climate Segment
130,0, Chenopodium pratericola,0,c Climate Segment f Climate Segment
131,0, Chimaphila umbellata,0,c Climate Segment f Climate Segment
132,0, Cicuta bulbifera,0,c Climate Segment f Climate Segment
133,0.0528, Cirsium carolinianum,0.060342857,c Climate Segment f Climate Segment
134,0, Cirsium discolor,0,c Climate Segment f Climate Segment
135,0, Cirsium muticum,0,c Climate Segment f Climate Segment
136,0, Cirsium pumilum,0,c Climate Segment f Climate Segment
137,0, Cladium mariscoides,0,c Climate Segment f Climate Segment
138,0.0116, Clematis pitcheri,0.015566452,c Climate Segment f Climate Segment
139,0.009, Clitoria mariana,0.012563758,c Climate Segment f Climate Segment
140,0.0016, Cocculus carolinus,0.002620472,c Climate Segment f Climate Segment
141,0.004, Coleataenia anceps,0.005985612,c Climate Segment f Climate Segment
142,5.00E-04, Coleataenia rigidula,0.000883853,c Climate Segment f Climate Segment
143,0.0973, Coleataenia stipitata,0.102907119,c Climate Segment f Climate Segment
144,0, Comandra umbellata,0,c Climate Segment f Climate Segment
145,0, Comarum palustre,0,c Climate Segment f Climate Segment
146,0.002, Commelina diffusa,0.003159494,c Climate Segment f Climate Segment
147,0, Commelina erecta,0,c Climate Segment f Climate Segment
148,8.00E-04, Commelina virginica,0.001379006,c Climate Segment f Climate Segment
149,0, Comptonia peregrina,0,c Climate Segment f Climate Segment
150,4.00E-04, Conoclinium coelestinum,0.000719308,c Climate Segment f Climate Segment
151,0, Coptis trifolia,0,c Climate Segment f Climate Segment
152,0.0095, Corallorhiza wisteriana,0.013232143,c Climate Segment f Climate Segment
153,0, Coreopsis palmata,0,c Climate Segment f Climate Segment
154,0, Coreopsis tripteris,0,c Climate Segment f Climate Segment
155,0.1032, Cornus drummondii,0.108594941,c Climate Segment f Climate Segment
156,0.0048, Cornus foemina,0.007114489,c Climate Segment f Climate Segment
157,0, Cornus racemosa,0,c Climate Segment f Climate Segment
158,0, Cornus sericea,0,c Climate Segment f Climate Segment
159,0.0212, Corydalis flavula,0.027332231,c Climate Segment f Climate Segment
160,0.0116, Crataegus viridis,0.015566452,c Climate Segment f Climate Segment
161,1.00E-04, Crocanthemum bicknellii,0.000192593,c Climate Segment f Climate Segment
162,0, Crocanthemum canadense,0,c Climate Segment f Climate Segment
163,0.1661, Cunila origanoides,0.171033663,c Climate Segment f Climate Segment
164,0.0085, Cuphea viscosissima,0.011945946,c Climate Segment f Climate Segment
165,0.0747, Cuscuta campestris,0.081683333,c Climate Segment f Climate Segment
166,0.0108, Cuscuta compacta,0.014650435,c Climate Segment f Climate Segment
167,0, Cycloloma atriplicifolium,0,c Climate Segment f Climate Segment
168,0.0011, Cynanchum laeve,0.001855135,c Climate Segment f Climate Segment
169,0.0073, Cynoglossum virginianum,0.01037631,c Climate Segment f Climate Segment
170,0, Cyperus diandrus,0,c Climate Segment f Climate Segment
171,0.0158, Cyperus flavescens,0.020756211,c Climate Segment f Climate Segment
172,0, Cyperus lupulinus,0,c Climate Segment f Climate Segment
173,0.0754, Cyperus pseudovegetus,0.081683333,c Climate Segment f Climate Segment
