,pvalues,speciesName,padj,model
1,0.3347, Acalypha deamii,0.398574046,e Climate Segment f Climate Segment
2,0.2359, Acalypha ostryifolia,0.2944032,e Climate Segment f Climate Segment
3,0.1933, Acalypha virginica,0.24857284,e Climate Segment f Climate Segment
4,0.6976, Actaea racemosa,0.731600672,e Climate Segment f Climate Segment
5,0.1761, Aesculus flava,0.229407933,e Climate Segment f Climate Segment
6,0, Agalinis paupercula,0,e Climate Segment f Climate Segment
7,0, Agrimonia gryposepala,0,e Climate Segment f Climate Segment
8,0.0486, Agrostis elliottiana,0.072205714,e Climate Segment f Climate Segment
9,0, Agrostis scabra,0,e Climate Segment f Climate Segment
10,0, Aletris farinosa,0,e Climate Segment f Climate Segment
11,3.00E-04, Alnus incana,0.000574233,e Climate Segment f Climate Segment
12,0, Alopecurus aequalis,0,e Climate Segment f Climate Segment
13,0.0883, Alopecurus carolinianus,0.12579726,e Climate Segment f Climate Segment
14,0, Ambrosia artemisiifolia,0,e Climate Segment f Climate Segment
15,0.0125, Ammannia robusta,0.020526316,e Climate Segment f Climate Segment
16,0, Amorpha canescens,0,e Climate Segment f Climate Segment
17,0.4368, Amorpha fruticosa,0.488464516,e Climate Segment f Climate Segment
18,0.0036, Ampelopsis cordata,0.006310112,e Climate Segment f Climate Segment
19,0.2233, Amsonia tabernaemontana,0.27979759,e Climate Segment f Climate Segment
20,0, Andromeda polifolia,0,e Climate Segment f Climate Segment
21,0.5843, Andropogon gyrans,0.626465979,e Climate Segment f Climate Segment
22,0.012, Andropogon virginicus,0.019809524,e Climate Segment f Climate Segment
23,0, Anemone americana,0,e Climate Segment f Climate Segment
24,0, Anemone cylindrica,0,e Climate Segment f Climate Segment
25,0, Anemone quinquefolia,0,e Climate Segment f Climate Segment
26,0.3782, Angelica venenosa,0.439472626,e Climate Segment f Climate Segment
27,0.0013, Apios americana,0.00235814,e Climate Segment f Climate Segment
28,0, Apocynum androsaemifolium,0,e Climate Segment f Climate Segment
29,0, Arabidopsis lyrata,0,e Climate Segment f Climate Segment
30,0, Aralia nudicaulis,0,e Climate Segment f Climate Segment
31,0.0265, Aralia spinosa,0.041757576,e Climate Segment f Climate Segment
32,0.096, Aristida dichotoma,0.135529412,e Climate Segment f Climate Segment
33,0.268, Aristida longespica,0.32919685,e Climate Segment f Climate Segment
34,0.0704, Aristida oligantha,0.101688889,e Climate Segment f Climate Segment
35,0, Aristida purpurascens,0,e Climate Segment f Climate Segment
36,0.2744, Aristida ramosissima,0.334259649,e Climate Segment f Climate Segment
37,0, Arnoglossum plantagineum,0,e Climate Segment f Climate Segment
38,0.4051, Arnoglossum reniforme,0.455463784,e Climate Segment f Climate Segment
39,0, Aronia melanocarpa,0,e Climate Segment f Climate Segment
40,0, Artemisia campestris,0,e Climate Segment f Climate Segment
41,0.0983, Aruncus dioicus,0.137981124,e Climate Segment f Climate Segment
42,0.1468, Arundinaria gigantea,0.201325714,e Climate Segment f Climate Segment
43,0, Asclepias amplexicaulis,0,e Climate Segment f Climate Segment
44,0, Asclepias hirtella,0,e Climate Segment f Climate Segment
45,0.3339, Asclepias perennis,0.398574046,e Climate Segment f Climate Segment
46,0.0078, Asclepias purpurascens,0.013154595,e Climate Segment f Climate Segment
47,0.0074, Asclepias quadrifolia,0.012513821,e Climate Segment f Climate Segment
48,0.174, Asclepias variegata,0.227146444,e Climate Segment f Climate Segment
49,0, Asclepias verticillata,0,e Climate Segment f Climate Segment
50,0, Asclepias viridiflora,0,e Climate Segment f Climate Segment
51,0.0299, Asplenium platyneuron,0.046644,e Climate Segment f Climate Segment
52,0.055, Asplenium rhizophyllum,0.080943396,e Climate Segment f Climate Segment
53,0.0011, Astragalus canadensis,0.002012903,e Climate Segment f Climate Segment
54,0, Aureolaria pedicularia,0,e Climate Segment f Climate Segment
55,0.0183, Aureolaria virginica,0.029430928,e Climate Segment f Climate Segment
56,0, Baptisia alba,0,e Climate Segment f Climate Segment
57,0.8625, Baptisia australis,0.873701299,e Climate Segment f Climate Segment
58,1.00E-04, Baptisia leucophaea,0.000203257,e Climate Segment f Climate Segment
59,0, Bartonia virginica,0,e Climate Segment f Climate Segment
60,1.00E-04, Betula alleghaniensis,0.000203257,e Climate Segment f Climate Segment
61,0.027, Betula nigra,0.042225564,e Climate Segment f Climate Segment
