,pvalues,speciesName,padj,model
1,0.4621, Acalypha deamii,0.494597599,f Climate Segment f Climate Segment
2,0.0636, Acalypha ostryifolia,0.073357486,f Climate Segment f Climate Segment
3,0, Acalypha virginica,0,f Climate Segment f Climate Segment
4,0.015, Actaea racemosa,0.018388998,f Climate Segment f Climate Segment
5,0, Aesculus flava,0,f Climate Segment f Climate Segment
6,0, Agalinis paupercula,0,f Climate Segment f Climate Segment
7,0, Agrimonia gryposepala,0,f Climate Segment f Climate Segment
8,0, Agrostis elliottiana,0,f Climate Segment f Climate Segment
9,0, Agrostis scabra,0,f Climate Segment f Climate Segment
10,0, Aletris farinosa,0,f Climate Segment f Climate Segment
11,1.00E-04, Alnus incana,0.000148571,f Climate Segment f Climate Segment
12,0, Alopecurus aequalis,0,f Climate Segment f Climate Segment
13,0.0814, Alopecurus carolinianus,0.093199266,f Climate Segment f Climate Segment
14,0, Ambrosia artemisiifolia,0,f Climate Segment f Climate Segment
15,0.2491, Ammannia robusta,0.274141799,f Climate Segment f Climate Segment
16,0, Amorpha canescens,0,f Climate Segment f Climate Segment
17,0.0196, Amorpha fruticosa,0.02365648,f Climate Segment f Climate Segment
18,0.0011, Ampelopsis cordata,0.001460426,f Climate Segment f Climate Segment
19,0.0996, Amsonia tabernaemontana,0.113206557,f Climate Segment f Climate Segment
20,1.00E-04, Andromeda polifolia,0.000148571,f Climate Segment f Climate Segment
21,0.0225, Andropogon gyrans,0.026948177,f Climate Segment f Climate Segment
22,0, Andropogon virginicus,0,f Climate Segment f Climate Segment
23,0, Anemone americana,0,f Climate Segment f Climate Segment
24,0, Anemone cylindrica,0,f Climate Segment f Climate Segment
25,0, Anemone quinquefolia,0,f Climate Segment f Climate Segment
26,0.002, Angelica venenosa,0.0026,f Climate Segment f Climate Segment
27,0, Apios americana,0,f Climate Segment f Climate Segment
28,0, Apocynum androsaemifolium,0,f Climate Segment f Climate Segment
29,0, Arabidopsis lyrata,0,f Climate Segment f Climate Segment
30,0, Aralia nudicaulis,0,f Climate Segment f Climate Segment
31,0, Aralia spinosa,0,f Climate Segment f Climate Segment
32,0, Aristida dichotoma,0,f Climate Segment f Climate Segment
33,1.00E-04, Aristida longespica,0.000148571,f Climate Segment f Climate Segment
34,0, Aristida oligantha,0,f Climate Segment f Climate Segment
35,0, Aristida purpurascens,0,f Climate Segment f Climate Segment
36,0.0048, Aristida ramosissima,0.006075456,f Climate Segment f Climate Segment
37,0, Arnoglossum plantagineum,0,f Climate Segment f Climate Segment
38,0.0029, Arnoglossum reniforme,0.003746584,f Climate Segment f Climate Segment
39,0, Aronia melanocarpa,0,f Climate Segment f Climate Segment
40,0, Artemisia campestris,0,f Climate Segment f Climate Segment
41,0, Aruncus dioicus,0,f Climate Segment f Climate Segment
42,0.0398, Arundinaria gigantea,0.046595122,f Climate Segment f Climate Segment
43,0, Asclepias amplexicaulis,0,f Climate Segment f Climate Segment
44,0, Asclepias hirtella,0,f Climate Segment f Climate Segment
45,0.0072, Asclepias perennis,0.008967665,f Climate Segment f Climate Segment
46,0.004, Asclepias purpurascens,0.005104294,f Climate Segment f Climate Segment
47,0, Asclepias quadrifolia,0,f Climate Segment f Climate Segment
48,0.2711, Asclepias variegata,0.296783158,f Climate Segment f Climate Segment
49,0, Asclepias verticillata,0,f Climate Segment f Climate Segment
50,1.00E-04, Asclepias viridiflora,0.000148571,f Climate Segment f Climate Segment
51,4.00E-04, Asplenium platyneuron,0.000550993,f Climate Segment f Climate Segment
