"","climateSegment","speciesName","count"
"1","a Climate Segment "," Acalypha deamii",0
"2","b Climate Segment "," Acalypha deamii",0
"3","c Climate Segment "," Acalypha deamii",0
"4","d Climate Segment "," Acalypha deamii",1
"5","e Climate Segment "," Acalypha deamii",1
"6","f Climate Segment "," Acalypha deamii",3
"13","a Climate Segment "," Acalypha ostryifolia",0
"14","b Climate Segment "," Acalypha ostryifolia",0
"15","c Climate Segment "," Acalypha ostryifolia",1
"16","d Climate Segment "," Acalypha ostryifolia",0
"17","e Climate Segment "," Acalypha ostryifolia",4
"18","f Climate Segment "," Acalypha ostryifolia",6
"25","a Climate Segment "," Acalypha virginica",2
"26","b Climate Segment "," Acalypha virginica",3
"27","c Climate Segment "," Acalypha virginica",2
"28","d Climate Segment "," Acalypha virginica",6
"29","e Climate Segment "," Acalypha virginica",11
"30","f Climate Segment "," Acalypha virginica",5
"85","a Climate Segment "," Actaea racemosa",0
"86","b Climate Segment "," Actaea racemosa",1
"87","c Climate Segment "," Actaea racemosa",0
"88","d Climate Segment "," Actaea racemosa",1
"89","e Climate Segment "," Actaea racemosa",4
"90","f Climate Segment "," Actaea racemosa",2
"103","a Climate Segment "," Aesculus flava",0
"104","b Climate Segment "," Aesculus flava",0
"105","c Climate Segment "," Aesculus flava",0
"106","d Climate Segment "," Aesculus flava",0
"107","e Climate Segment "," Aesculus flava",5
"108","f Climate Segment "," Aesculus flava",0
"127","a Climate Segment "," Agalinis paupercula",9
"128","b Climate Segment "," Agalinis paupercula",2
"129","c Climate Segment "," Agalinis paupercula",0
"130","d Climate Segment "," Agalinis paupercula",0
"131","e Climate Segment "," Agalinis paupercula",0
"132","f Climate Segment "," Agalinis paupercula",0
"169","a Climate Segment "," Agrimonia gryposepala",16
"170","b Climate Segment "," Agrimonia gryposepala",9
"171","c Climate Segment "," Agrimonia gryposepala",2
"172","d Climate Segment "," Agrimonia gryposepala",0
"173","e Climate Segment "," Agrimonia gryposepala",0
"174","f Climate Segment "," Agrimonia gryposepala",0
"193","a Climate Segment "," Agrostis elliottiana",0
"194","b Climate Segment "," Agrostis elliottiana",1
"195","c Climate Segment "," Agrostis elliottiana",2
"196","d Climate Segment "," Agrostis elliottiana",4
"197","e Climate Segment "," Agrostis elliottiana",13
"198","f Climate Segment "," Agrostis elliottiana",5
"211","a Climate Segment "," Agrostis scabra",9
"212","b Climate Segment "," Agrostis scabra",2
"213","c Climate Segment "," Agrostis scabra",0
"214","d Climate Segment "," Agrostis scabra",0
"215","e Climate Segment "," Agrostis scabra",0
"216","f Climate Segment "," Agrostis scabra",0
"217","a Climate Segment "," Aletris farinosa",11
"218","b Climate Segment "," Aletris farinosa",1
"219","c Climate Segment "," Aletris farinosa",0
"220","d Climate Segment "," Aletris farinosa",0
"221","e Climate Segment "," Aletris farinosa",0
"222","f Climate Segment "," Aletris farinosa",0
"253","a Climate Segment "," Alnus incana",6
"254","b Climate Segment "," Alnus incana",0
"255","c Climate Segment "," Alnus incana",0
"256","d Climate Segment "," Alnus incana",0
"257","e Climate Segment "," Alnus incana",1
"258","f Climate Segment "," Alnus incana",0
"265","a Climate Segment "," Alopecurus aequalis",8
"266","b Climate Segment "," Alopecurus aequalis",5
"267","c Climate Segment "," Alopecurus aequalis",1
"268","d Climate Segment "," Alopecurus aequalis",0
"269","e Climate Segment "," Alopecurus aequalis",0
"270","f Climate Segment "," Alopecurus aequalis",1
"271","a Climate Segment "," Alopecurus carolinianus",5
"272","b Climate Segment "," Alopecurus carolinianus",0
"273","c Climate Segment "," Alopecurus carolinianus",2
"274","d Climate Segment "," Alopecurus carolinianus",3
"275","e Climate Segment "," Alopecurus carolinianus",3
"276","f Climate Segment "," Alopecurus carolinianus",6
"289","a Climate Segment "," Ambrosia artemisiifolia",12
"290","b Climate Segment "," Ambrosia artemisiifolia",10
"291","c Climate Segment "," Ambrosia artemisiifolia",3
"292","d Climate Segment "," Ambrosia artemisiifolia",1
"293","e Climate Segment "," Ambrosia artemisiifolia",1
"294","f Climate Segment "," Ambrosia artemisiifolia",3
"337","a Climate Segment "," Ammannia robusta",0
"338","b Climate Segment "," Ammannia robusta",0
