"county","speciesName","n"
"Adams","Acalypha rhomboidea",1
"Adams","Acer nigrum",1
"Adams","Acer saccharinum",1
"Adams","Acer saccharum",1
"Adams","Achillea millefolium",1
"Adams","Adiantum pedatum",1
"Adams","Aesculus glabra",1
"Adams","Agastache nepetoides",1
"Adams","Ageratina altissima",1
"Adams","Agrimonia rostellata",1
"Adams","Agrostis hyemalis",1
"Adams","Agrostis perennans",1
"Adams","Alisma subcordatum",1
"Adams","Allium canadense",1
"Adams","Amphicarpaea bracteata",1
"Adams","Anemone canadensis",1
"Adams","Anemone virginiana",1
"Adams","Antennaria parlinii",2
"Adams","Apocynum androsaemifolium",1
"Adams","Apocynum cannabinum",1
"Adams","Arisaema dracontium",1
"Adams","Arisaema triphyllum",3
"Adams","Asarum canadense",1
"Adams","Asimina triloba",1
"Adams","Athyrium filix-femina",1
"Adams","Bidens connata",1
"Adams","Bidens discoidea",1
"Adams","Bidens tripartita",1
"Adams","Bidens vulgata",1
"Adams","Blephilia hirsuta",1
"Adams","Brachyelytrum erectum",1
"Adams","Bromus latiglumis",1
"Adams","Bromus pubescens",1
"Adams","Calystegia silvatica",1
"Adams","Campanulastrum americanum",1
"Adams","Cardamine bulbosa",1
"Adams","Cardamine concatenata",1
"Adams","Carex bromoides",1
"Adams","Carex cristatella",1
"Adams","Carex crus-corvi",1
"Adams","Carex davisii",1
"Adams","Carex echinodes",1
"Adams","Carex gracilescens",1
"Adams","Carex gracillima",1
"Adams","Carex grayi",1
"Adams","Carex hirtifolia",1
"Adams","Carex hyalinolepis",1
"Adams","Carex leavenworthii",1
"Adams","Carex lupulina",1
"Adams","Carex muskingumensis",1
"Adams","Carex normalis",1
"Adams","Carex radiata",1
"Adams","Carex shortiana",1
"Adams","Carex sparganioides",1
"Adams","Carex squarrosa",1
"Adams","Carex stipata",1
"Adams","Carex tribuloides",1
"Adams","Carex tuckermanii",1
"Adams","Carex vulpinoidea",1
"Adams","Carpinus caroliniana",1
"Adams","Carya glabra",1
"Adams","Celastrus scandens",1
"Adams","Cephalanthus occidentalis",1
"Adams","Cercis canadensis",1
"Adams","Chaerophyllum procumbens",1
"Adams","Chelone glabra",1
"Adams","Cicuta maculata",1
"Adams","Cinna arundinacea",1
"Adams","Circaea canadensis",1
"Adams","Claytonia virginica",1
"Adams","Comandra umbellata",1
"Adams","Conyza canadensis",1
"Adams","Cornus drummondii",1
"Adams","Cornus obliqua",1
"Adams","Cornus racemosa",1
"Adams","Crataegus mollis",1
"Adams","Crataegus pruinosa",2
"Adams","Cryptotaenia canadensis",1
"Adams","Cuscuta cephalanthi",1
"Adams","Cuscuta gronovii",1
"Adams","Cyperus esculentus",1
"Adams","Cyperus odoratus",1
"Adams","Cystopteris protrusa",1
"Adams","Danthonia spicata",1
"Adams","Diarrhena obovata",1
"Adams","Dicentra cucullaria",1
"Adams","Dichanthelium acuminatum",2
"Adams","Dichanthelium latifolium",1
"Adams","Dryopteris carthusiana",1
"Adams","Eleocharis obtusa",1
"Adams","Elymus hystrix",1
"Adams","Elymus villosus",2
"Adams","Elymus virginicus",3
"Adams","Endodeca serpentaria",1
"Adams","Epifagus virginiana",1
"Adams","Erigenia bulbosa",1
"Adams","Erigeron annuus",1
"Adams","Erigeron philadelphicus",1
"Adams","Euonymus atropurpureus",1
"Adams","Euonymus obovatus",1
"Adams","Eupatorium serotinum",1
"Adams","Euphorbia nutans",1
"Adams","Euthamia graminifolia",1
"Adams","Eutrochium purpureum",2
"Adams","Fagus grandifolia",1
"Adams","Fallopia scandens",1
"Adams","Festuca subverticillata",2
"Adams","Floerkea proserpinacoides",1
"Adams","Fraxinus americana",1
"Adams","Fraxinus pennsylvanica",1
"Adams","Fraxinus profunda",1
"Adams","Galium circaezans",1
"Adams","Galium concinnum",1
"Adams","Galium obtusum",1
"Adams","Galium triflorum",1
"Adams","Geranium maculatum",1
"Adams","Geum canadense",1
"Adams","Geum laciniatum",1
"Adams","Geum vernum",1
"Adams","Gleditsia triacanthos",1
"Adams","Glyceria septentrionalis",1
"Adams","Glyceria striata",1
"Adams","Gratiola neglecta",1
"Adams","Gymnocladus dioicus",1
"Adams","Hedeoma pulegioides",1
"Adams","Helenium autumnale",1
"Adams","Helianthus decapetalus",1
"Adams","Helianthus tuberosus",1
"Adams","Heliopsis helianthoides",1
"Adams","Heuchera americana",1
"Adams","Hibiscus laevis",1
"Adams","Hordeum jubatum",1
"Adams","Hydrastis canadensis",1
"Adams","Hydrophyllum macrophyllum",1
"Adams","Hydrophyllum virginianum",1
"Adams","Hylodesmum glutinosum",1
"Adams","Hylodesmum nudiflorum",1
"Adams","Hypericum sphaerocarpum",1
"Adams","Ilex verticillata",1
"Adams","Impatiens capensis",1
"Adams","Iris virginica",1
"Adams","Juncus tenuis",1
"Adams","Lactuca canadensis",1
"Adams","Lactuca floridana",1
"Adams","Laportea canadensis",1
"Adams","Leersia oryzoides",1
"Adams","Leersia virginica",1
"Adams","Lespedeza frutescens",1
"Adams","Lilium michiganense",1
"Adams","Lindera benzoin",1
"Adams","Lindernia dubia",1
"Adams","Lobelia siphilitica",1
"Adams","Lonicera dioica",1
"Adams","Luzula echinata",1
"Adams","Lycopus rubellus",1
"Adams","Lysimachia ciliata",2
"Adams","Maianthemum racemosum",1
"Adams","Malus coronaria",1
"Adams","Mentha canadensis",1
"Adams","Mitella diphylla",1
"Adams","Moehringia lateriflora",1
"Adams","Morus rubra",1
"Adams","Muhlenbergia mexicana",1
"Adams","Nyssa sylvatica",6
"Adams","Oenothera gaura",1
"Adams","Onoclea sensibilis",1
"Adams","Osmorhiza claytonii",1
"Adams","Ostrya virginiana",1
"Adams","Oxalis stricta",1
"Adams","Packera obovata",1
"Adams","Panicum dichotomiflorum",1
"Adams","Parthenocissus inserta",1
"Adams","Parthenocissus quinquefolia",1
"Adams","Penstemon calycosus",1
"Adams","Penthorum sedoides",1
"Adams","Persicaria pensylvanica",2
"Adams","Persicaria punctata",1
"Adams","Persicaria virginiana",1
"Adams","Phlox divaricata",1
"Adams","Phryma leptostachya",1
"Adams","Phyla lanceolata",1
"Adams","Physalis longifolia",1
"Adams","Physostegia virginiana",2
"Adams","Phytolacca americana",1
"Adams","Pilea pumila",1
"Adams","Plantago rugelii",1
"Adams","Poa sylvestris",1
"Adams","Podophyllum peltatum",1
"Adams","Polemonium reptans",1
"Adams","Polygonatum biflorum",1
"Adams","Polygonatum pubescens",2
"Adams","Polymnia canadensis",1
"Adams","Populus deltoides",1
"Adams","Populus heterophylla",1
"Adams","Populus tremuloides",1
"Adams","Potentilla simplex",1
"Adams","Prunus americana",3
"Adams","Prunus serotina",1
"Adams","Ptelea trifoliata",1
"Adams","Quercus imbricaria",2
"Adams","Quercus macrocarpa",1
"Adams","Quercus palustris",1
"Adams","Quercus rubra",2
"Adams","Quercus shumardii",1
"Adams","Ranunculus abortivus",1
"Adams","Ranunculus hispidus",5
"Adams","Rhus glabra",1
"Adams","Ribes americanum",1
"Adams","Ribes cynosbati",1
"Adams","Rorippa palustris",1
"Adams","Rosa carolina",5
"Adams","Rosa palustris",1
"Adams","Rosa setigera",3
"Adams","Rudbeckia hirta",1
"Adams","Rudbeckia laciniata",1
"Adams","Ruellia strepens",1
"Adams","Rumex altissimus",1
"Adams","Sagittaria brevirostra",2
"Adams","Salix amygdaloides",1
"Adams","Salix eriocephala",2
"Adams","Salix interior",1
"Adams","Sambucus canadensis",1
"Adams","Samolus parviflorus",1
"Adams","Sanguinaria canadensis",1
"Adams","Sanicula canadensis",1
"Adams","Sanicula trifoliata",1
"Adams","Scirpus georgianus",1
"Adams","Scirpus pedicellatus",1
"Adams","Scutellaria nervosa",1
"Adams","Scutellaria ovata",1
"Adams","Senna hebecarpa",1
"Adams","Silene virginica",1
"Adams","Silphium perfoliatum",1
"Adams","Solanum ptychanthum",2
"Adams","Solidago caesia",1
"Adams","Solidago canadensis",2
"Adams","Solidago flexicaulis",1
"Adams","Solidago ulmifolia",2
"Adams","Sphenopholis intermedia",1
"Adams","Spiraea alba",1
"Adams","Stachys hispida",2
